date,ticker,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,at_turn,rect_turn,pay_turn,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2022-01-31,A,0.115,29.262,33.251,33.652,35.36,6.658,28.333,0.195,0.191,0.223,0.577,0.215,0.242,0.17,0.233,0.179,0.11,0.236,0.177,0.236,0.341,0.653,0.347,0.353,0.347,0.031,0.03,0.296,0.272,1.687,0.018,0.538,0.279,0.873,4.734,0.521,0.497,0.384,0.986,0.622,5.719,6.955,1.173,0.07,0.01,0.0,-0.027,7.661,0.557,39943346.0,139.32,-0.1273410585656124,-0.1153724045971174,-0.09077856816550278,0.15935757676624784,-0.011425315411307905,-0.024723703902887795,0.09275555880512222,0.10204386927605806,0.07514429295014924,1.1783486571301354,0.18809756836967395,-0.15005216535831928,0.011968653968495002,-0.14317374898137647,0.1451412908699341,-0.1273410585656124,-0.8896033520634209,2.120687686448334,0.1273410585656124,-0.11196474116832178,0.3333333333333333,5361868375.44,1.5026558313964151,0.5192444640311003,-0.5536963297283499,0
2022-02-28,A,0.115,29.262,31.112,31.488,33.086,6.197,26.367,0.195,0.191,0.223,0.577,0.215,0.242,0.17,0.233,0.179,0.11,0.236,0.177,0.236,0.341,0.653,0.347,0.353,0.347,0.031,0.03,0.296,0.272,1.687,0.018,0.538,0.279,0.873,4.734,0.521,0.497,0.384,0.986,0.622,5.719,6.955,1.173,0.07,0.01,0.0,-0.027,7.13,0.595,42311208.0,130.36,-0.06431237438989368,-0.13611663353214043,-0.2570809825041317,0.06791185385434595,-0.046334259621279204,-0.0360347526134609,0.09422956869307984,0.06787766757041046,0.0785502944814603,1.216279302877699,0.0592805119531048,-0.07822180988934947,-0.07180425914224675,0.0039073021833664345,0.05798542080848246,-0.1273410585656124,-3.7874162696804214,0.8645652355940528,0.06431237438989368,-0.6826141981560582,0.16666666666666666,5482654208.399999,0.3067704625327812,0.4998683674059222,-0.2903265793889881,0
2022-03-31,A,0.123,26.424,31.81,32.119,33.586,6.162,26.441,0.199,0.187,0.225,0.578,0.212,0.238,0.172,0.24,0.186,0.11,0.242,0.169,0.242,0.356,0.648,0.352,0.37,0.352,0.03,0.029,0.256,0.277,1.632,0.044,0.511,0.279,0.852,4.887,0.541,0.516,0.394,1.065,0.615,5.636,6.461,1.27,0.071,0.01,0.0,-0.029,7.705,0.0,46245518.0,132.33,0.015111997545259381,-0.17112433448167863,-0.15996952961340694,0.04082114204813592,-0.026775643514758935,-0.021421395425255108,0.0713836104923521,0.06540929039079404,0.07790306993372091,1.2329292149127338,0.09298505492918085,0.01863202326923981,-0.186236332026938,-0.18458208856026692,0.05798542080848246,-0.1273410585656124,-2.4456698529773635,0.5239991451282485,-0.015111997545259381,-0.4093553584633819,0.3333333333333333,5733421812.179999,0.18750109280613952,-0.39906839125409743,-0.20420931576804577,0
2022-04-30,A,0.123,26.424,28.671,28.949,30.272,5.554,23.831,0.199,0.187,0.225,0.578,0.212,0.238,0.172,0.24,0.186,0.11,0.242,0.169,0.242,0.356,0.648,0.352,0.37,0.352,0.03,0.029,0.256,0.277,1.632,0.044,0.511,0.279,0.852,4.887,0.541,0.516,0.394,1.065,0.615,5.636,6.461,1.27,0.071,0.01,0.0,-0.029,6.945,0.704,43909609.0,119.27,-0.0986926622836849,-0.1439132931380993,-0.24268207505238437,-0.10752768632146059,-0.043182100580660555,-0.043498900241949336,0.05836913518252472,0.06963548105799935,0.08193929976716958,1.0969179707186578,-0.05051103546942648,-0.10825775483704145,-0.04522063085441441,-0.028540888540981912,0.05798542080848246,-0.1273410585656124,-3.485034803597531,-1.3122846622682933,0.0986926622836849,-0.6201163533959679,0.3333333333333333,5624152512.416665,0.27697454752252276,0.4059940250169616,0.13113139811138247,0
2022-05-31,A,0.123,26.424,30.663,30.961,32.376,5.94,25.488,0.199,0.187,0.225,0.578,0.212,0.238,0.172,0.24,0.186,0.11,0.242,0.169,0.242,0.356,0.648,0.352,0.37,0.352,0.03,0.029,0.256,0.277,1.632,0.044,0.511,0.279,0.852,4.887,0.541,0.516,0.394,1.065,0.615,5.636,6.461,1.27,0.071,0.01,0.0,-0.029,7.428,0.659,45521294.0,127.56,0.06950616248847163,-0.02147898128260206,-0.15467196819085494,-0.07652211684644894,-0.02462375239949625,-0.01121173946182906,0.08583032722896342,0.08351752069062687,0.08415614370123509,1.0857768119688418,0.036704608323886445,0.07546817951892103,-0.0909851437710737,0.11463765224953837,0.06950616248847163,-0.1273410585656124,-1.851970304097086,-0.9092873494549857,-0.06950616248847163,-0.2948333738343332,0.5,5721154908.336666,0.6222919447049242,-0.047433678747328206,0.06117852911960245,0
2022-06-30,A,0.144,25.049,27.946,28.145,28.619,5.436,27.02,0.193,0.194,0.229,0.579,0.219,0.244,0.174,0.248,0.188,0.11,0.249,0.171,0.249,0.36,0.651,0.349,0.365,0.349,0.03,0.029,0.251,0.276,1.584,0.041,0.517,0.279,0.806,4.721,0.533,0.509,0.391,1.037,0.622,5.513,6.296,1.267,0.071,0.01,0.0,-0.005,6.927,0.707,35107280.0,118.77,-0.06890874882408282,-0.10247109498979834,-0.2560601315377389,-0.19646843921250257,-0.04577278067159046,-0.027696599279615847,0.08975579259799511,0.07393115492218852,0.08268306057632287,0.8324578431826445,-0.2287723631054952,-0.057363628422510575,-0.03356234616571552,0.06865323949188029,0.06950616248847163,-0.1273410585656124,-3.4634942712208203,-2.376163120269925,0.06890874882408282,-0.6191270881641936,0.3333333333333333,5071162324.556665,0.11262270512970503,0.7780379931151781,0.441609330289876,0
2022-07-31,A,0.144,25.049,31.553,31.777,32.313,6.137,30.508,0.193,0.194,0.229,0.579,0.219,0.244,0.174,0.248,0.188,0.11,0.249,0.171,0.249,0.36,0.651,0.349,0.365,0.349,0.03,0.029,0.251,0.276,1.584,0.041,0.517,0.279,0.806,4.721,0.533,0.509,0.391,1.037,0.622,5.513,6.296,1.267,0.071,0.01,0.0,-0.005,7.821,0.626,27260706.0,134.1,0.1290729982318768,0.12433973337804982,-0.03746770025839796,-0.12484500424198919,-0.003037104538675598,0.01709471429509633,0.1015740023837088,0.0897649293378908,0.09173308871853067,0.6805093194931187,-0.22350276068097552,0.08783537819171099,-0.004733264853826968,0.26825302651614913,0.1290729982318768,-0.0986926622836849,-0.4173979808680406,-1.3609593439621062,-0.1290729982318768,-0.033833976822322316,0.5,4544016194.28,0.8187022647616243,0.5401599174516817,0.42301788482630837,0
2022-08-31,A,0.144,25.049,30.176,30.391,30.904,5.869,29.177,0.193,0.194,0.229,0.579,0.219,0.244,0.174,0.248,0.188,0.11,0.249,0.171,0.249,0.36,0.651,0.349,0.365,0.349,0.03,0.029,0.251,0.276,1.584,0.041,0.517,0.279,0.806,4.721,0.533,0.509,0.391,1.037,0.622,5.513,6.296,1.267,0.071,0.01,0.0,-0.005,7.479,0.655,31901280.0,128.25,-0.043624161073825496,0.005409219190968928,-0.016185946609389434,-0.26910583005641986,0.0004109310140024321,-0.00025353581030990516,0.1077500126661164,0.08730410009042566,0.07845221868325476,0.832403871093264,0.17022941372097988,-0.03631292055104842,0.049033380264794424,0.02688820047357099,0.1290729982318768,-0.0986926622836849,-0.1853973248979688,-3.4301876297841294,0.043624161073825496,0.004706892500773827,0.5,3972230493.399999,0.5871214595456964,0.48287936554632693,0.5985022061073112,0
2022-09-30,A,0.128,23.359,27.192,27.315,27.688,5.404,27.574,0.186,0.199,0.234,0.58,0.225,0.249,0.18,0.256,0.194,0.11,0.258,0.178,0.258,0.368,0.653,0.347,0.366,0.347,0.03,0.028,0.236,0.277,1.543,0.047,0.521,0.279,0.783,4.561,0.53,0.505,0.393,1.022,0.635,5.371,6.034,1.283,0.07,0.01,0.0,0.002,7.068,0.691,31678795.0,121.55,-0.0522417153996102,0.023406584154247678,-0.08146300914380722,-0.22840093950358664,-0.010814687810142498,-0.015107301407252846,0.102285219243451,0.08934217612335822,0.07511582259202122,0.8825038734980636,-0.006974171569291254,-0.04610351619833944,0.07564829955385788,0.12587767914404602,0.1290729982318768,-0.0986926622836849,-0.911809099336556,-3.040650180243747,0.0522417153996102,-0.12104795606512021,0.3333333333333333,3865852455.6166654,0.6936568710258438,0.9568224946210673,0.6037279256377341,0
2022-10-31,A,0.128,23.359,30.951,31.09,31.515,6.151,31.385,0.186,0.199,0.234,0.58,0.225,0.249,0.18,0.256,0.194,0.11,0.258,0.178,0.258,0.368,0.653,0.347,0.366,0.347,0.03,0.028,0.236,0.277,1.543,0.047,0.521,0.279,0.783,4.561,0.53,0.505,0.393,1.022,0.635,5.371,6.034,1.283,0.07,0.01,0.0,0.002,8.045,0.607,27011171.0,138.35,0.13821472645002064,0.03169276659209541,0.1599731701182192,-0.12153152581116267,0.028669876978808424,0.028698992266253866,0.10755874325261335,0.09491381875154258,0.08778941026348616,0.8165386764442573,-0.14734222056110402,0.11285766980060494,-0.10652195985792523,-0.09264696678595441,0.13821472645002064,-0.06890874882408282,1.6854571043757447,-1.3843529127989906,-0.13821472645002064,0.30206220080405805,0.5,3892964066.699999,1.046810922336866,0.19582913373467575,0.5250884459887413,0
