date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2019-06-30,A,126554.0,49.926,0.206,20.13,27.252,27.452,21.519,21.519,4.701,22.819,0.178,0.223,0.242,0.199,0.585,0.19,0.266,0.14,0.237,0.152,0.666,0.238,0.182,0.238,0.211,0.337,0.728,0.272,0.272,0.272,0.039,0.039,0.552,0.206,1.479,0.0,0.462,0.274,0.858,4.747,0.372,0.446,0.304,0.807,1.953,2.835,3.42,115.745,0.576,6.351,6.905,0.758,1.041,0.08,0.008,0.0,0.01,4.604,0.879,00846U10,40823993.0,74.67,0.11364653243847878,-0.07103757153520773,0.1068781500148237,0.20747089262613194,0.021356873446073676,0.010335015375949799,0.1298213023203727,0.1003415581040656,0.08558380368816332,0.9046824983791859,-0.46593076193550886,0.10281402889857418,-0.1846841039736865,-0.2625584728100373,0.12733471686925601,-0.14585987261146505,1.0651434164892966,2.4241840591951425,-0.11364653243847878,0.2128417561936219,0.6666666666666666,3798495298.1699996,1.348288491254992,-0.8246869763415676,-0.5353160194399733,0
2019-07-31,A,126554.0,46.409,0.206,20.13,25.332,25.518,20.003,20.003,4.37,21.212,0.178,0.223,0.242,0.199,0.585,0.19,0.266,0.14,0.237,0.152,0.666,0.238,0.182,0.238,0.211,0.337,0.728,0.272,0.272,0.272,0.039,0.039,0.552,0.206,1.479,0.0,0.462,0.274,0.858,4.747,0.372,0.446,0.304,0.807,1.953,2.835,3.42,115.745,0.576,6.351,6.905,0.758,1.041,0.08,0.008,0.0,0.01,4.28,0.945,00846U10,60628167.0,69.41,-0.07044328378197406,-0.11579617834394906,-0.08731097961867196,0.05102967898243471,-0.01160612666246467,-0.012744498669171305,0.13349175790331405,0.09057455572873722,0.08772182496284557,1.2660547481552928,0.4851111453012449,-0.089185053907819,-0.045352894561975,-0.14801182594421214,0.11364653243847878,-0.14585987261146505,-0.9639680693567033,0.5817215841559183,0.07044328378197406,-0.12813893006799826,0.5,4127266014.16,0.7282801888406892,-0.18972339346900954,-0.15615784115852102,0
2019-08-31,A,126554.0,46.564,0.206,20.13,25.953,26.143,20.493,20.493,4.385,21.283,0.178,0.223,0.242,0.199,0.585,0.19,0.266,0.14,0.237,0.152,0.666,0.238,0.182,0.238,0.211,0.337,0.728,0.272,0.272,0.272,0.039,0.039,0.552,0.206,1.479,0.0,0.462,0.274,0.858,4.747,0.372,0.446,0.304,0.807,1.953,2.835,3.42,115.745,0.576,6.351,6.905,0.758,1.041,0.08,0.008,0.0,0.01,4.294,0.923,00846U10,55913284.0,71.11,0.0244921481054603,0.06055182699478001,-0.10485901309164147,0.05285756588688173,-0.014953424792159479,-0.0021054567335622764,0.09206003558324802,0.08842871193860007,0.08775099478776122,1.0912712912875147,-0.07776720348480926,0.026727578089450716,0.03605967888931971,0.2165185943663812,0.11364653243847878,-0.14585987261146505,-1.185802787271737,0.602358594506257,-0.0244921481054603,-0.16910146562512748,0.5,3744174084.6733327,0.49553681198129806,-0.08996536054212198,-0.16186486058159089,0
2019-09-30,A,126554.0,47.039,0.221,19.938,28.381,28.593,22.875,22.875,4.659,21.978,0.188,0.211,0.242,0.199,0.585,0.183,0.253,0.141,0.221,0.153,0.666,0.222,0.172,0.222,0.222,0.339,0.744,0.256,0.275,0.256,0.042,0.039,0.525,0.205,1.458,0.07,0.427,0.274,0.851,4.721,0.342,0.446,0.303,0.804,1.643,2.441,2.962,115.98,0.579,6.2,6.696,0.778,1.045,0.08,0.008,0.0,-0.001,4.996,0.856,00846U10,52481470.0,76.63,0.07762621290957661,0.026248828177313444,-0.04665339636725552,0.0863339948965125,-0.003987860942006797,0.02067502030733455,0.07501171121981647,0.09615634125083343,0.0895149826562104,0.9619931132472992,-0.06137743581650468,0.07467588222648129,-0.051377384732263165,0.09728639971252118,0.11364653243847878,-0.14585987261146505,-0.4851827322085339,0.964464186158481,-0.07762621290957661,-0.04147267762199961,0.5,4068616580.9366665,0.9356596390352154,-0.3245486007648348,-0.21958284803875391,0
2019-10-31,A,126554.0,46.498,0.221,19.938,28.056,28.265,22.612,22.612,4.606,21.726,0.188,0.211,0.242,0.199,0.585,0.183,0.253,0.141,0.221,0.153,0.666,0.222,0.172,0.222,0.222,0.339,0.744,0.256,0.275,0.256,0.042,0.039,0.525,0.205,1.458,0.07,0.427,0.274,0.851,4.721,0.342,0.446,0.303,0.804,1.643,2.441,2.962,115.98,0.579,6.2,6.696,0.778,1.045,0.08,0.008,0.0,-0.001,4.938,0.866,00846U10,34987402.0,75.75,-0.01148375309930827,0.09134130528742257,-0.035031847133757954,0.1691619077018056,-0.0020036693398719496,0.01148679933400803,0.04482945525769098,0.09579809569434884,0.08513835935118519,0.6534127351736057,-0.3333379952962445,-0.007503630522677387,0.10282505838673084,0.20713748363137163,0.11364653243847878,-0.14585987261146505,-0.36568417023162697,1.986905890493305,0.01148375309930827,-0.020915544566405684,0.5,3549314790.9466662,0.8494393747118268,-0.4190761193730043,-0.3660738098257473,0
2019-11-30,A,126554.0,49.58,0.221,19.938,29.915,30.138,24.11,24.11,4.911,23.166,0.188,0.211,0.242,0.199,0.585,0.183,0.253,0.141,0.221,0.153,0.666,0.222,0.172,0.222,0.222,0.339,0.744,0.256,0.275,0.256,0.042,0.039,0.525,0.205,1.458,0.07,0.427,0.274,0.851,4.721,0.342,0.446,0.303,0.804,1.643,2.441,2.962,115.98,0.579,6.2,6.696,0.778,1.045,0.08,0.008,0.0,-0.001,5.266,0.812,00846U10,34169299.0,80.77,0.06627062706270626,0.1358458725917593,0.2046234153616704,0.11637871458189353,0.0333514139391566,0.027139321542207523,0.04850305661572496,0.0668629292521125,0.08088009889597912,0.7348141134300357,-0.023382787896054746,0.048696592071535025,0.06957524552905303,0.07529404559697928,0.11364653243847878,-0.07044328378197406,3.060341771598429,1.4389042072212301,-0.06627062706270626,0.4988027642851571,0.6666666666666666,3143935009.276666,-2.1963388142274938,-0.5709409754871262,-0.42194738942457927,0
2019-12-31,A,126554.0,44.533,0.204,20.266,31.364,31.832,25.315,25.315,5.125,25.917,0.192,0.207,0.247,0.2,0.586,0.178,0.254,0.142,0.228,0.153,-0.165,0.23,0.178,0.23,0.238,0.32,0.726,0.274,0.368,0.274,0.041,0.035,0.294,0.255,1.889,0.256,0.381,0.217,0.848,5.534,0.375,0.498,0.368,0.991,0.664,1.207,1.533,113.433,0.574,6.053,6.285,0.79,1.087,0.078,0.007,0.0,0.006,5.537,0.844,00846U10,32811082.0,85.31,0.05620898848582412,0.11327156466135979,0.14249363867684472,0.2646012451823305,0.023778489947047492,0.03544494066895512,0.04228728624646415,0.05635348074014433,0.07759938381365031,0.7264695397079007,-0.03974963021629441,0.04083411799274334,0.05706257617553567,0.08702273648404635,0.07762621290957661,-0.07044328378197406,2.5285685428005342,3.4098369365632153,-0.05620898848582412,0.42195246211488213,0.6666666666666666,2736421129.0499997,-2.2892718741608333,-1.0281846303588833,-0.8207922577749349,0
2019-06-30,AAL,1045.0,4.971,0.16,8.208,7.531,7.531,10.452,10.452,0.325,4.29,0.128,0.032,0.124,0.075,0.293,0.042,0.081,0.101,0.128,0.127,0.251,-2.192,0.108,-2.192,0.073,0.231,-0.023,1.023,1.17,1.023,0.042,0.037,0.084,0.513,5.254,0.126,0.444,0.058,-0.262,1.472,5.594,1.01,1.018,-102.08,0.272,0.418,0.507,11.179,0.789,23.254,16.215,1.799,120.228,0.0,0.003,0.311,-0.035,4.162,1.23,02376R10,124544279.0,32.61,0.1975762027175909,0.026763224181360235,0.015571473061351648,-0.14093782929399368,0.011981724402040114,0.013600403869430462,0.20558901641824637,0.1484123434501532,0.1340123570240595,0.8525982658990798,-0.06392867168090233,0.16845312781994307,-0.17081297853623068,0.037663255324306255,0.1975762027175909,-0.20333528379169108,0.1049203368086536,-1.051677863323386,-0.1975762027175909,0.08073266767103088,0.5,4023195932.51,1.1470885331623502,-0.36905990294530905,-0.27346474067705834,0
2019-07-31,AAL,1045.0,4.651,0.16,8.208,7.046,7.046,9.779,9.779,0.304,4.013,0.128,0.032,0.124,0.075,0.293,0.042,0.081,0.101,0.128,0.127,0.251,-2.192,0.108,-2.192,0.073,0.231,-0.023,1.023,1.17,1.023,0.042,0.037,0.084,0.513,5.254,0.126,0.444,0.058,-0.262,1.472,5.594,1.01,1.018,-102.08,0.272,0.418,0.507,11.179,0.789,23.254,16.215,1.799,120.228,0.0,0.003,0.311,-0.035,4.162,1.31,02376R10,128771090.0,30.51,-0.06439742410303584,-0.10737273259215907,-0.1470506010623428,-0.22837632776934746,-0.017748376749981493,-0.008684689836988481,0.20357796623550223,0.1416031933001294,0.13422234454360857,0.9746243150057212,0.03393821887234183,-0.06276329535455423,-0.04297530848912323,-0.06292207561704022,0.1975762027175909,-0.20333528379169108,-1.0384695262533208,-1.701477712566319,0.06439742410303584,-0.1253388171293823,0.3333333333333333,3871048689.11,0.7415314968329426,0.3773401684693243,-0.04905808063278384,0
2019-08-31,AAL,1045.0,3.884,0.16,8.376,5.886,5.899,7.761,7.761,0.26,3.857,0.118,0.034,0.126,0.076,0.293,0.045,0.084,0.1,0.128,0.12,0.251,-2.753,0.105,-2.753,0.072,0.224,-0.013,1.013,1.176,1.013,0.039,0.034,0.084,0.538,5.615,0.138,0.461,0.058,-0.428,1.44,5.594,1.006,1.01,-170.15,0.269,0.405,0.492,11.45,0.764,23.413,16.178,1.668,120.228,0.0,0.003,0.311,-0.026,4.162,1.52,02376R10,168250877.0,26.31,-0.13765978367748288,-0.03378626514873306,-0.26157732248105536,-0.3500494071146245,-0.040039358308753104,-0.04553471664855831,0.1762482723576067,0.14930729869514733,0.13824415308314705,1.2095551033774758,0.30658890128211236,-0.16650709387693877,0.10387351852874982,0.20197011992002922,0.1975762027175909,-0.20333528379169108,-1.7519392874097786,-2.532110033645235,0.13765978367748288,-0.26816745503181777,0.3333333333333333,4138958489.32,0.9360007458447549,0.8440712708322493,0.2243804311590485,0
