date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2021-06-30,A,126554.0,67.038,0.119,24.084,44.791,45.064,49.435,49.435,7.71,32.572,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,9.325,0.525,00846U10,38559285.0,147.81,0.07007891117063636,0.16257668711656437,0.24744704194446787,0.6726264569424012,0.03772071221575246,0.04667866343373073,0.018245244889400655,0.021412781776429402,0.040855126415351196,1.123975056968607,0.36221156463462223,0.07876694817531395,0.092497775945928,0.08957474602448912,0.07007891117063636,0.014178411680310532,11.556043699882597,16.463697850404,-0.07007891117063636,1.761597937605397,1.0,4677935746.926666,-1.6283445625470494,0.38833358764917636,1.5181064713540477,1
2021-07-31,A,126554.0,69.496,0.119,24.084,46.433,46.716,51.247,51.247,7.993,33.767,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,9.667,0.506,00846U10,38946060.0,153.23,0.03666869629930303,0.1465878479497158,0.27511026046434206,0.5906778781272708,0.041469092985584544,0.04381867282389425,0.020234254160280084,0.018193959380181365,0.038266904894422936,1.1040491017328302,0.010030657985489189,0.040484041210959464,0.10991915165041277,0.03449664382222983,0.07007891117063636,0.01581093450944482,15.120967059210816,15.43573695748142,-0.03666869629930303,2.2792780899992953,1.0,5192371216.566667,-1.5765250530996193,0.3401123562233204,2.0830638437541547,1
2021-08-31,A,126554.0,79.467,0.119,24.084,53.173,53.497,58.686,58.686,9.14,38.611,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,11.054,0.442,00846U10,36973129.0,175.47,0.1451412908699341,0.2703250561065662,0.43745391988203486,0.7473610834495119,0.06302415237899943,0.07276799226561992,0.05555313834032344,0.04232484092043731,0.048865375355835246,1.0297820758986729,-0.050658038322746846,0.14946389981065383,0.1251837652366321,0.13876119930309283,0.1451412908699341,0.03359772523196658,10.33563057459248,15.294287171791181,-0.1451412908699341,1.4890582222736028,1.0,6051609211.759999,-0.14984315219420943,1.9731669277935973,1.447843894257921,1
2021-09-30,A,126554.0,68.64,0.107,25.028,44.753,45.009,49.075,49.075,7.764,33.559,0.234,0.161,0.269,0.218,0.575,0.195,0.212,0.169,0.203,0.179,0.146,0.203,0.146,0.203,0.301,0.352,0.659,0.341,0.367,0.341,0.031,0.029,0.269,0.269,1.635,0.072,0.484,0.194,0.892,4.923,0.517,0.516,0.39,1.068,0.841,1.652,2.116,116.449,0.611,5.684,6.738,0.833,1.264,0.07,0.009,0.0,-0.043,9.642,0.493,00846U10,29918047.0,157.53,-0.10223969909386221,0.06576009742236644,0.23902784332232185,0.5606300772736279,0.039061944809042626,0.022765794734339314,0.12400215070652092,0.08045139016830112,0.06478974372909702,0.8722049550344915,-0.19081647106470212,-0.08917397215090203,0.16799979651622865,-0.09681658969419793,0.1451412908699341,-0.10223969909386221,2.971084064828278,8.653068294540104,0.10223969909386221,0.48553474001290203,0.8333333333333334,5722789887.78,1.7529074921313519,-0.919584078402184,-0.2221541283315347,0
2021-10-31,A,126554.0,68.623,0.107,25.028,44.741,44.997,49.062,49.062,7.762,33.551,0.234,0.161,0.269,0.218,0.575,0.195,0.212,0.169,0.203,0.179,0.146,0.203,0.146,0.203,0.301,0.352,0.659,0.341,0.367,0.341,0.031,0.029,0.269,0.269,1.635,0.072,0.484,0.194,0.892,4.923,0.517,0.516,0.39,1.068,0.841,1.652,2.116,116.449,0.611,5.684,6.738,0.833,1.264,0.07,0.009,0.0,-0.043,9.639,0.493,00846U10,28781641.0,157.49,-0.000253919888275167,0.027801344384259075,0.1784645315773723,0.5426584386325792,0.030498834098283783,0.01618873341359232,0.12432365065094063,0.08163626129765046,0.06533666648481384,0.857087298114232,-0.037983963324878744,-0.00021763151097923053,0.02805526427253424,-0.11878650356545672,0.1451412908699341,-0.10223969909386221,2.186093884513898,8.30557277908736,0.000253919888275167,0.3735942045053153,0.6666666666666666,5244495176.876667,1.5332628962819908,-0.4405017474641936,-0.17917960909374456,0
2021-11-30,A,126554.0,65.595,0.107,25.028,42.869,43.114,47.009,47.009,7.42,32.07,0.234,0.161,0.269,0.218,0.575,0.195,0.212,0.169,0.203,0.179,0.146,0.203,0.146,0.203,0.301,0.352,0.659,0.341,0.367,0.341,0.031,0.029,0.269,0.269,1.635,0.072,0.484,0.194,0.892,4.923,0.517,0.516,0.39,1.068,0.841,1.652,2.116,116.449,0.611,5.684,6.738,0.833,1.264,0.07,0.009,0.0,-0.043,9.214,0.514,00846U10,34150640.0,150.9,-0.041843926598514214,-0.14002393571550686,0.09244914211250288,0.2908468776732249,0.017925225459870315,-0.00039202658986668866,0.051281051005932644,0.0867152741875561,0.05970891035969722,0.9883037861763171,0.18654249074957185,-0.0413545110857955,-0.09818000911699265,-0.4103489918220731,0.1451412908699341,-0.10223969909386221,1.066122929076428,4.8710799765246255,0.041843926598514214,0.2067135879787443,0.5,4799714053.666667,1.4775516968018279,0.11623491628141115,-0.15698889697367532,0
2021-12-31,A,126554.0,60.268,0.115,29.262,38.103,38.563,40.52,40.52,7.63,32.468,0.195,0.191,0.273,0.223,0.577,0.215,0.242,0.17,0.233,0.179,0.11,0.236,0.177,0.236,0.301,0.341,0.653,0.347,0.353,0.347,0.031,0.03,0.296,0.272,1.687,0.018,0.538,0.279,0.873,4.734,0.521,0.497,0.384,0.986,0.922,1.738,2.224,115.053,0.622,5.719,6.955,0.766,1.173,0.07,0.01,0.0,-0.027,8.779,0.486,00846U10,33619584.0,159.65,0.05798542080848246,0.013457754078588291,0.08010283472024904,0.34737108616760914,0.015909643732844665,0.016287244095375922,0.050145534973477617,0.08539101918477944,0.06043616845234324,0.9966816543149721,-0.015550396712916692,0.057793005137548106,-0.044527666729894166,-0.052302343343778146,0.1451412908699341,-0.10223969909386221,0.9380709527182574,5.74773509080953,-0.05798542080848246,0.18631518729642338,0.5,5017839600.896667,1.2205083205176765,0.19059499424604037,-0.35063103481414143,0
2021-06-30,AAL,1045.0,47.815,0.3295,-4.726,-0.984,-0.984,-1.385,-1.385,1.07,-2.215,0.107,-0.615,-0.859,-1.037,-0.62,-0.79,-0.437,-0.178,-39.331,-0.385,0.253,1.735,-0.219,1.735,-0.255,-0.123,-0.182,1.182,1.315,1.182,0.035,0.031,0.147,0.66,-3.863,0.102,0.544,-0.095,-0.119,1.753,5.829395833333334,1.091,1.155,-11.973,0.605,0.712,0.808,37.298,0.199,11.86,16.303,0.396,3.5241666666666664,0.0,0.003,0.724,-0.027,8.609166666666667,0.0,02376R10,613758810.0,21.21,-0.12499999999999989,-0.11255230125523008,0.34495878249841483,0.6228003060443765,0.05825168988022247,0.01869870828483393,0.13049887305970906,0.1364696329136627,0.14241335325976157,0.6797227752108314,-0.088102735196398,-0.08496534690135385,0.012447698744769808,-0.6280881287758389,0.2195690157251018,-0.12499999999999989,2.5277329112232056,4.37318756836229,0.12499999999999989,0.4268472673116612,0.6666666666666666,15115430393.499998,-0.4828130046037294,-0.5311165019160903,-0.12448533909760331,0
2021-07-31,AAL,1045.0,45.944,0.3295,-4.726,-0.945,-0.945,-1.331,-1.331,1.028,-2.128,0.107,-0.615,-0.859,-1.037,-0.62,-0.79,-0.437,-0.178,-39.331,-0.385,0.253,1.735,-0.219,1.735,-0.255,-0.123,-0.182,1.182,1.315,1.182,0.035,0.031,0.147,0.66,-3.863,0.102,0.544,-0.095,-0.119,1.753,5.829395833333334,1.091,1.155,-11.973,0.605,0.712,0.808,37.298,0.199,11.86,16.303,0.396,3.5241666666666664,0.0,0.003,0.724,-0.027,8.609166666666667,0.0,02376R10,684209400.0,20.38,-0.039132484677039225,-0.06169429097605894,0.18695398951659858,0.8327338129496402,0.036933582890612326,0.0021755102957273145,0.12215961388329141,0.14067335765493666,0.13153394830120893,0.8794687009161791,0.11478546434225523,-0.03441579546253797,-0.022561806299019715,-0.3266913789201473,0.2195690157251018,-0.12499999999999989,1.3289935822473617,6.33094211573961,0.039132484677039225,0.26254852735660295,0.5,14425637628.299997,-0.237875217982484,0.10070379221472066,-0.06369453143796872,0
2021-08-31,AAL,1045.0,-38.607,0.3295,-7.077,-1.293,-1.293,-1.91,-1.91,0.691,-7.082,0.107,-0.311,-0.423,-0.544,-0.228,-0.4,-0.19,-0.123,-39.331,-0.277,0.253,0.988,-0.131,0.988,-0.188,-0.064,-0.21,1.21,1.34,1.21,0.039,0.035,0.17,0.671,-5.65,0.097,0.549,-0.095,-0.119,1.872,5.829395833333334,1.105,1.179,-10.494,0.695,0.798,0.891,25.423,0.281,15.913,15.212,0.561,3.5241666666666664,0.0,0.003,0.724,-0.06,8.609166666666667,0.0,02376R10,643011250.0,19.94,-0.02158979391560345,-0.1773927392739273,-0.04775549188156636,0.5279693486590038,-0.0032595520495052135,-0.004614576621795761,0.05533932735000727,0.10892320551456669,0.12815042806186083,0.872167614299686,-0.06021277988872997,-0.01882991905259374,-0.15580294535832384,-0.33498586248309625,0.14135625596943635,-0.12499999999999989,-0.4384326705770686,4.119918728668953,0.02158979391560345,-0.029925230662343132,0.3333333333333333,13261218752.366663,-1.2377022048894473,0.507145487801204,0.28594275584937334,0
