date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2014-10-31,A,126554.0,25.068,0.301,19.548,39.77,40.948,42.198,26.577,3.904,19.953,0.388,0.093,0.225,0.144,0.595,0.107,0.228,0.1,0.083,0.085,0.157,0.083,0.069,0.083,0.111,0.263,0.681,0.318,0.319,0.318,0.046,0.045,0.519,0.241,2.419,0.003,0.495,0.213,0.79,4.561,0.462,0.485,0.354,0.942,1.668,2.468,3.143,192.964,0.442,5.334,4.484,0.585,0.859,0.092,0.006,0.0,-0.046,3.271,0.955,00846U10,59760345.0,55.28,0.03192085122269939,0.07863414634146348,0.292797006548176,-0.029835029835029725,0.044222060667987916,0.0330420312611996,0.03287504751249263,0.03509144880334739,0.08650445237829742,1.0810973487205418,0.14244266021437535,0.03450954762576317,0.0467132951187641,-0.11991590043122136,0.09884219554030871,-0.009560975609756106,8.343827813693629,-0.34489588702968144,-0.03192085122269939,1.2601947818059183,0.8333333333333334,2906105017.0966663,-1.7806971820883843,0.04790624668515904,-1.4272423691033815,1
2014-11-30,A,126554.0,19.382,0.301,19.548,30.748,31.659,32.626,20.548,3.018,15.427,0.388,0.093,0.225,0.144,0.595,0.107,0.228,0.1,0.083,0.085,0.157,0.083,0.069,0.083,0.111,0.263,0.681,0.318,0.319,0.318,0.046,0.045,0.519,0.241,2.419,0.003,0.495,0.213,0.79,4.561,0.462,0.485,0.354,0.942,1.668,2.468,3.143,192.964,0.442,5.334,4.484,0.585,0.859,0.092,0.006,0.0,-0.046,2.529,1.24,00846U10,56336377.0,42.74,-0.22684515195369026,-0.15799842395587071,-0.0444891571652134,-0.045556051808843256,-0.0012639804044309866,-0.04121144965734036,0.15660358634905275,0.1159458357453032,0.089415061778445,1.0085934050094778,-0.05729498382246623,-0.22879452421886487,0.06884672799781955,-0.2928072770745831,0.09884219554030871,-0.22684515195369026,-0.38370638220196357,-0.5094896866673675,0.22684515195369026,-0.01090147305684662,0.6666666666666666,2837858793.063333,1.5785126133713174,-1.958049282884397,-1.5361749927964243,0
2014-12-31,A,126554.0,16.836,0.294,14.009,15.992,16.118,27.477,27.477,1.966,19.308,0.349,0.072,0.218,0.162,0.582,0.093,0.127,0.141,0.092,0.141,0.22,0.095,0.075,0.095,0.177,0.375,0.657,0.343,0.343,0.343,0.041,0.041,0.548,0.255,1.818,0.0,0.499,0.129,0.712,5.023,0.508,0.511,0.379,1.044,1.779,2.602,3.231,126.111,0.649,7.419,6.454,0.866,1.318,0.103,0.008,0.0,-0.019,2.526,1.29,00846U10,48794381.0,40.94,-0.042115114646701035,-0.23576628710098946,-0.12221269296741,-0.013018322082931522,-0.015399940901289691,-0.041469639654300554,0.1332706239984016,0.11467707569266307,0.08748881241316234,0.8770377216082135,-0.1338743526229953,-0.03693654419501138,-0.19365117245428842,-0.38435119276136687,0.09884219554030871,-0.22684515195369026,-1.0657116274480398,-0.1487998490761656,0.042115114646701035,-0.13428961985882734,0.5,2569670194.24,1.3202122119848965,-1.4961516296403548,-1.6949506506486496,0
2014-06-30,AAPL,1690.0,20.939,0.302,7.873,0.551,0.555,0.555,0.555,3.162,10.318,0.292,0.214,0.328,0.286,0.421,0.29,0.257,0.28,0.26,0.357,0.262,0.295,0.241,0.295,0.577,0.354,0.88,0.12,0.12,0.12,0.018,0.018,0.484,0.081,0.293,0.0,0.199,0.643,0.866,5.372,0.12,0.407,0.237,0.687,0.934,1.61,1.652,35.02410416666667,0.84,9.375,4.743,1.247,1.417,0.029,0.006,0.0,-0.079,3.985,2.02,03783310,1202092320.0,92.93,-0.8531911532385466,-0.8268621679025226,-0.8343552814516416,-0.7656419438630115,-0.11960039346200196,-0.2095589063340816,0.5424392370466755,0.3665780014400081,0.26749990448432914,3.0878969483900414,4.8858965755726995,-2.634566358478688,0.026328985336023902,-0.7835838534039309,0.09939635577747152,-0.8531911532385466,-2.27606478886919,-2.8622138962590356,0.8531911532385466,-0.32626178601056893,0.6666666666666666,125258524159.81667,3.1503629715238235,-2.2500718085924194,-3.1163990869660316,0
2014-07-31,AAPL,1690.0,21.536,0.302,7.873,0.567,0.571,0.571,0.571,3.252,10.612,0.292,0.214,0.328,0.286,0.421,0.29,0.257,0.28,0.26,0.357,0.262,0.295,0.241,0.295,0.577,0.354,0.88,0.12,0.12,0.12,0.018,0.018,0.484,0.081,0.293,0.0,0.199,0.643,0.866,5.372,0.12,0.407,0.237,0.687,0.934,1.61,1.652,35.02410416666667,0.84,9.375,4.743,1.247,1.417,0.029,0.006,0.0,-0.079,4.099,1.97,03783310,1027859320.0,95.6,0.028731303131389163,-0.8379908149604298,-0.8090291650019976,-0.7887432877378295,-0.09686239372260708,-0.1414759893439471,0.5223391726087971,0.3716599655842208,0.2629108648114269,2.021426902691988,-0.1449414467600958,0.05807822909918862,-0.866722118091819,-1.016756296382723,0.09939635577747152,-0.8531911532385466,-2.1767993325034785,-3.0000406727335385,-0.028731303131389163,-0.2606210049294571,0.8333333333333334,113084354900.86665,2.1541844623426116,-2.415686371306823,-3.1826410931989355,0
2014-08-31,AAPL,1690.0,21.79,0.254,8.585,4.102,4.126,4.126,4.126,3.445,10.888,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.095,0.346,0.025,0.218,0.643,0.863,5.654,0.14,0.426,0.26,0.741,0.859,1.524,1.563,35.02410416666667,0.828,9.077,4.459,1.241,1.441,0.031,0.006,0.0,-0.084,4.35,1.83,03783310,929012960.0,102.5,0.07217573221757334,-0.8380726698262243,-0.8052219519610824,-0.7896210305080293,-0.0933695279787939,-0.08043264032636982,0.5221715092072983,0.37342425608893653,0.2627355346474508,1.4786080957216923,-0.09616720700649972,0.10671962197154491,-0.9102484020437976,-1.040945883569003,0.09939635577747152,-0.8531911532385466,-2.1563193574905504,-3.0053834612344112,-0.07217573221757334,-0.25003605538831564,0.8333333333333334,101732539563.2,1.6750617032914232,-2.4145811761115237,-3.1849423008602544,0
2014-09-30,AAPL,1690.0,20.983,0.254,8.585,4.032,4.056,4.056,4.056,3.318,10.484,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.095,0.346,0.025,0.218,0.643,0.863,5.654,0.14,0.426,0.26,0.741,0.859,1.524,1.563,35.02410416666667,0.828,9.077,4.459,1.241,1.441,0.031,0.006,0.0,-0.084,4.189,1.87,03783310,1521324570.0,100.75,-0.017073170731707332,0.08414935973313242,-0.8122927301859373,-0.7886733088620871,-0.0995405353030356,-0.062329934727894824,0.04462965180637542,0.3714778740939051,0.2627654682905358,1.7852647814714302,0.6375708795278809,-0.03048013041536591,0.10122253046483976,0.9110115276356551,0.09939635577747152,-0.8531911532385466,-2.186651714229956,-3.001434374131927,0.017073170731707332,-0.2679581806745049,0.6666666666666666,115586876606.5,1.3558301007868128,-2.3838894888167945,-3.188855324341936,0
2014-10-31,AAPL,1690.0,22.488,0.254,8.585,4.322,4.348,4.348,4.348,3.556,11.236,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.095,0.346,0.025,0.218,0.643,0.863,5.654,0.14,0.426,0.26,0.741,0.859,1.524,1.563,35.02410416666667,0.828,9.077,4.459,1.241,1.441,0.031,0.006,0.0,-0.084,4.489,1.74,03783310,1353345810.0,108.0,0.07196029776674928,0.12970711297071147,-0.8169770712942094,-0.7933813147835669,-0.10411321163815597,-0.023961296872282222,0.05146580029903121,0.3686977753131402,0.2617162559832745,1.301738883753914,-0.11041612244519261,0.09367351768948748,0.05774681520396219,0.9676979279311413,0.07271772102560625,-0.8531911532385466,-2.2158448626394325,-3.0314560010910037,-0.07196029776674928,-0.28238090547123906,0.6666666666666666,131552875435.83333,1.120428570978241,-2.3993418197482814,-3.206119020030656,0
2014-11-30,AAPL,1690.0,22.043,0.223,10.361,18.325,18.439,18.439,18.439,3.816,11.681,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.152,0.584,0.179,0.241,0.496,0.84,5.833,0.22,0.519,0.37,1.078,0.395,1.047,1.08,35.02410416666667,0.833,7.639,3.982,1.301,1.639,0.033,0.007,0.0,-0.092,5.292,1.58,03783310,817042140.0,118.93,0.10120370370370368,0.1602926829268294,-0.8121169036334913,-0.7861240491305052,-0.09936554785847307,0.011800131863713748,0.061605673886243814,0.37160216972317717,0.2632913640287294,0.715586613429535,-0.396279846612153,0.0724200155998594,0.059088979223125726,0.9983653527530537,0.10120370370370368,-0.8531911532385466,-2.1854471523631656,-2.9857570605495676,-0.10120370370370368,-0.2673976525284953,0.6666666666666666,132201873205.90001,0.9636247183796449,-2.3827437082859535,-3.1812398721603787,0
2014-12-31,AAPL,1690.0,20.324,0.223,10.361,17.008,17.113,17.113,17.113,3.518,10.77,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.152,0.584,0.179,0.241,0.496,0.84,5.833,0.22,0.519,0.37,1.078,0.395,1.047,1.08,35.02410416666667,0.833,7.639,3.982,1.301,1.639,0.033,0.007,0.0,-0.092,4.879,1.7,03783310,1069697600.0,110.38,-0.07189102833599603,0.09558312655086842,0.18777574518454743,-0.8032512209903391,0.03085113962528535,-0.012111628193346189,0.09265542534232907,0.06512196928190161,0.2630258372271479,0.9553313209935921,0.3092318592037371,-0.06867975106781485,0.16747415488686446,0.011433766817736002,0.10120370370370368,-0.07189102833599603,2.8834469727366363,-3.053887136938015,0.07189102833599603,0.4737439602254066,0.6666666666666666,120468463426.06667,-0.9987864501833889,-0.7673079283519976,-3.0995574107533588,0
