date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2016-06-30,A,126554.0,20.426,0.313,15.917,28.076,28.076,31.461,31.914,3.525,20.989,0.302,0.114,0.225,0.163,0.567,0.129,0.174,0.125,0.113,0.115,0.088,0.113,0.092,0.113,0.162,0.313,0.713,0.286,0.3,0.287,0.042,0.04,0.636,0.234,1.88,0.045,0.502,0.148,0.842,5.504,0.399,0.444,0.325,0.8,2.146,3.033,3.595,115.324,0.552,6.801,7.109,0.709,0.994,0.078,0.006,0.0,-0.03,3.47,1.04,00846U10,52014110.0,44.36,-0.03334059707997383,0.1131744040150564,0.06099019373355641,0.1498185588387766,0.012405857079010688,0.023830856231558624,0.07803353107077013,0.0775942112747625,0.07954347691690819,1.1095913596179399,-0.022984369022685525,-0.03699443844444208,0.14651500109503024,0.16005314115928027,0.12145650048875845,-0.09949772781631194,0.7860147391354882,1.8834801374759915,0.03334059707997383,0.15988121891053605,0.5,2056993471.74,0.0051469554394810175,-0.02794191311772266,-0.24764198554472883,1
2016-07-31,A,126554.0,22.153,0.313,15.917,30.449,30.449,34.121,34.612,3.823,22.763,0.302,0.114,0.225,0.163,0.567,0.129,0.174,0.125,0.113,0.115,0.088,0.113,0.092,0.113,0.162,0.313,0.713,0.286,0.3,0.287,0.042,0.04,0.636,0.234,1.88,0.045,0.502,0.148,0.842,5.504,0.399,0.444,0.325,0.8,2.146,3.033,3.595,115.324,0.552,6.801,7.109,0.709,0.994,0.078,0.006,0.0,-0.03,3.763,0.956,00846U10,34720042.0,48.11,0.08453561767357987,0.17570869990224813,0.27782204515272246,0.17484737484737467,0.04307808132732599,0.04117507378642184,0.0808497526363786,0.0585489301793533,0.08104550426211511,0.7853846724607743,-0.3324880114261304,0.06639297839783376,0.09117308222866827,0.08885611026081386,0.12145650048875845,-0.03334059707997383,4.745125902414758,2.1573975810168093,-0.08453561767357987,0.7357620573999326,0.6666666666666666,2140269101.386667,-1.4283729120239241,-0.02575734895271983,-0.27062339524675566,0
2016-08-31,A,126554.0,21.632,0.313,15.917,29.734,29.734,33.319,33.799,3.734,22.228,0.302,0.114,0.225,0.163,0.567,0.129,0.174,0.125,0.113,0.115,0.088,0.113,0.092,0.113,0.162,0.313,0.713,0.286,0.3,0.287,0.042,0.04,0.636,0.234,1.88,0.045,0.502,0.148,0.842,5.504,0.399,0.444,0.325,0.8,2.146,3.033,3.595,115.324,0.552,6.801,7.109,0.709,0.994,0.078,0.006,0.0,-0.03,3.674,0.979,00846U10,45126244.0,46.98,-0.023487840365828405,0.023752451514491124,0.2578313253012048,0.293858441200771,0.04049146251469454,0.02269995545720748,0.06539743408101704,0.06152243337299954,0.07155645217798709,1.0538013724369646,0.2997174369777549,-0.02475151841309031,0.04724029188031953,-0.20489547351897608,0.12145650048875845,-0.03334059707997383,4.190850575399374,4.106665887652416,0.023487840365828405,0.6581576880940653,0.6666666666666666,2032586027.78,-1.2359626762931686,-0.04150385482405329,-0.1386716217802328,1
2016-09-30,A,126554.0,22.464,0.279,16.326,28.713,28.89,32.701,32.701,3.702,19.19,0.305,0.115,0.226,0.165,0.569,0.13,0.176,0.126,0.115,0.117,0.088,0.116,0.094,0.116,0.166,0.312,0.716,0.283,0.307,0.283,0.042,0.039,0.634,0.238,1.92,0.077,0.493,0.148,0.857,5.523,0.393,0.445,0.328,0.803,2.024,2.831,3.352,114.158,0.547,6.834,7.03,0.707,0.987,0.079,0.006,0.0,-0.043,3.517,0.977,00846U10,38865273.0,47.09,0.002341421881651984,0.06154192966636618,0.1816813048933501,0.3716865715117974,0.02972596544766957,0.01688323157847734,0.05640937288684488,0.06162121373191785,0.06765871616372031,0.9014717126878486,-0.13874345491727602,0.002110725593777619,0.059200507784714196,-0.05163247434869023,0.12145650048875845,-0.03334059707997383,2.9483564813207326,5.493550463068079,-0.002341421881651984,0.4823982464381817,0.6666666666666666,1873525956.4366667,-1.247445623494392,0.6595677699632089,-0.24958914969801096,0
2016-10-31,A,126554.0,20.784,0.279,16.326,26.567,26.73,30.257,30.257,3.425,17.756,0.305,0.115,0.226,0.165,0.569,0.13,0.176,0.126,0.115,0.117,0.088,0.116,0.094,0.116,0.166,0.312,0.716,0.283,0.307,0.283,0.042,0.039,0.634,0.238,1.92,0.077,0.493,0.148,0.857,5.523,0.393,0.445,0.328,0.803,2.024,2.831,3.352,114.158,0.547,6.834,7.03,0.707,0.987,0.079,0.006,0.0,-0.043,3.254,1.06,00846U10,37259589.0,43.57,-0.07475047780845201,-0.094367075452089,0.06476050830889535,0.1538665254237288,0.012792437464956008,-0.009297828246359616,0.03923894702896604,0.07506325822448708,0.06971450838717663,0.8558110525365522,-0.04131410578281547,-0.0639722850908615,-0.01961659764363699,-0.27007577535433713,0.12145650048875845,-0.07475047780845201,0.8627457672463414,2.2070947494773008,0.07475047780845201,0.17042209154708488,0.5,1857865647.14,-0.14259065120215378,0.5918334627696169,0.062360290671946435,0
2016-11-30,A,126554.0,20.98,0.279,16.326,26.817,26.982,30.542,30.542,3.458,17.923,0.305,0.115,0.226,0.165,0.569,0.13,0.176,0.126,0.115,0.117,0.088,0.116,0.094,0.116,0.166,0.312,0.716,0.283,0.307,0.283,0.042,0.039,0.634,0.238,1.92,0.077,0.493,0.148,0.857,5.523,0.393,0.445,0.328,0.803,2.024,2.831,3.352,114.158,0.547,6.834,7.03,0.707,0.987,0.079,0.006,0.0,-0.043,3.285,1.05,00846U10,53245408.0,43.98,0.009410144594904635,-0.0638569604086846,-0.041621268250163546,0.0516499282639884,-0.005881955184019627,-0.003952693148855544,0.04668357705865139,0.05344834392897377,0.06322576408589478,1.2229515504125383,0.42903905891178784,0.011508150921944791,-0.07326710500358924,-0.08760941192317573,0.08453561767357987,-0.07475047780845201,-0.7787195110380418,0.816912678094643,-0.009410144594904635,-0.11004934393918767,0.5,1931766347.38,-1.5517635303724173,0.7673159287027356,0.20107720085265285,0
2016-12-31,A,126554.0,22.339,0.306,16.62,27.612,27.78,32.543,32.543,3.489,18.485,0.325,0.11,0.229,0.17,0.572,0.129,0.168,0.126,0.108,0.12,0.151,0.11,0.09,0.11,0.167,0.308,0.689,0.31,0.31,0.311,0.04,0.04,0.644,0.245,1.985,0.0,0.538,0.223,0.825,5.565,0.444,0.456,0.338,0.838,2.422,3.283,3.847,108.272,0.55,6.794,6.687,0.682,0.99,0.078,0.007,0.0,-0.043,3.403,1.16,00846U10,34019620.0,45.56,0.03592542064574822,-0.032490974729241895,0.02705139765554554,0.0896914613728772,0.005662381103600715,0.007441053649602673,0.05778584706485552,0.05381055063985228,0.06375992494739777,0.8391750082438396,-0.36107879950887034,0.030147715166559168,-0.06841639537499011,-0.09403290439560807,0.08453561767357987,-0.07475047780845201,0.5027154960111332,1.4067058806432577,-0.03592542064574822,0.10522808327122257,0.6666666666666666,1838355741.256667,-1.2811671991651195,-0.050707030790091465,0.037126954125796294,0
2016-06-30,AAL,1045.0,25.26,0.196,5.206,3.386,3.469,2.544,2.544,0.375,2.385,0.036,0.182,0.218,0.177,0.379,0.118,0.222,0.184,1.868,0.304,-0.649,1.868,0.38,1.868,0.186,0.316,0.195,0.805,0.895,0.805,0.052,0.047,0.191,0.419,2.31,0.1,0.415,0.146,0.012,1.645,4.141,0.909,0.833,9.985,0.582,0.771,0.837,4.486,0.833,24.624,15.022,1.78,9.152,0.0,0.003,0.261,0.021,3.229,1.41,02376R10,274096043.0,28.31,-0.11281729865246004,-0.30968056571567915,-0.3315230224321134,-0.2910980343057469,-0.062434613606507226,-0.07080285877256762,0.03706866309761028,0.07544959953783048,0.09241811340258647,1.2953199842598786,0.34155741764607805,-0.14613450151474655,-0.1968632670632191,-0.2780394795291383,0.05155167991792764,-0.15410875396244816,-4.393966627561589,-3.149794164675082,0.11281729865246004,-0.827500927625235,0.3333333333333333,7146669227.286667,-0.7422328882910851,0.5717248771338872,0.9306119497897724,0
2016-07-31,AAL,1045.0,31.249,0.196,5.206,4.246,4.35,3.19,3.19,0.463,2.951,0.036,0.182,0.218,0.177,0.379,0.118,0.222,0.184,1.868,0.304,-0.649,1.868,0.38,1.868,0.186,0.316,0.195,0.805,0.895,0.805,0.052,0.047,0.191,0.419,2.31,0.1,0.415,0.146,0.012,1.645,4.141,0.909,0.833,9.985,0.582,0.771,0.837,4.486,0.833,24.624,15.022,1.78,9.152,0.0,0.003,0.261,0.021,3.994,1.13,02376R10,248068001.0,35.5,0.25397386082656315,0.023349668492361086,-0.08951013080277004,-0.11471321695760606,-0.006882496306212275,0.021990489684326882,0.20299205603368656,0.14817257077835555,0.12263387047603098,1.1620816544649595,-0.09495956860639543,0.29513836438018587,-0.23062419233420206,0.1336343568739975,0.25397386082656315,-0.15410875396244816,-0.6040937963927485,-0.9354121867989722,-0.25397386082656315,-0.046449192789585064,0.5,7695221105.556667,2.1992946473710604,1.2151602271676252,1.0553413108607508,0
2016-08-31,AAL,1045.0,19.891,0.284,5.109,4.886,4.979,3.497,3.497,0.479,3.082,0.039,0.165,0.215,0.173,0.378,0.114,0.207,0.177,1.493,0.279,-0.649,1.493,0.334,1.493,0.178,0.307,0.192,0.808,0.894,0.808,0.051,0.046,0.178,0.433,2.485,0.096,0.431,0.146,0.027,1.604,4.205,0.907,0.834,9.755,0.551,0.723,0.788,2.656,0.81,25.498,14.326,1.675,8.716,0.0,0.003,0.261,0.008,4.461,1.1,02376R10,181375205.0,36.3,0.022535211267605604,0.1375744280789719,-0.11463414634146352,-0.06875320677270391,-0.011718574414599281,0.022146124422406516,0.18548131313032662,0.14634621711162626,0.12258830849385285,0.8513759792374429,-0.26884884681277377,0.019185937560280378,0.11503921681136631,0.3592817451521426,0.25397386082656315,-0.15410875396244816,-0.7833078886762463,-0.5608463614305561,-0.022535211267605604,-0.08007432406442651,0.5,7716664318.110001,1.6519150021846416,1.3933334575875949,0.9348756179743842,0
