date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2024-06-30,A,126554.0,35.166,0.156,23.678,29.395,29.596,30.645,30.645,5.738,19.948,0.217,0.188,0.248,0.209,0.542,0.202,0.228,0.151,0.212,0.161,0.074,0.213,0.155,0.213,0.249,0.33,0.698,0.302,0.323,0.302,0.034,0.032,0.326,0.254,1.682,0.063,0.529,0.36,0.811,3.349,0.431,0.449,0.346,0.817,0.914,1.819,2.415,141.641,0.61,5.095,6.415,0.774,1.107,0.072,0.008,0.0,-0.061,6.086,0.728,00846U10,56308225.0,129.63,-0.0059811364159190195,-0.10913339289395918,-0.06761130691217732,0.07800415800415794,-0.010277433887210955,-0.00663065824917004,0.02775497572133472,0.056375441752454285,0.09080017270331985,1.5224068322739965,0.5136401529268289,-0.00910572294435792,-0.10315225647804016,-0.15574203851001311,0.059333139196272366,-0.06423074156656838,-1.1993042504049891,0.8590749960248253,0.0059811364159190195,-0.18230338544111774,0.3333333333333333,5308019630.09,-1.2642323422741868,0.5080779383952523,1.4770025060786685,0
2024-07-31,A,126554.0,38.359,0.156,23.678,32.063,32.283,33.428,33.428,6.259,21.759,0.217,0.188,0.248,0.209,0.542,0.202,0.228,0.151,0.212,0.161,0.074,0.213,0.155,0.213,0.249,0.33,0.698,0.302,0.323,0.302,0.034,0.032,0.326,0.254,1.682,0.063,0.529,0.36,0.811,3.349,0.431,0.449,0.346,0.817,0.914,1.819,2.415,141.641,0.61,5.095,6.415,0.774,1.107,0.072,0.008,0.0,-0.061,6.639,0.668,00846U10,36843574.0,141.4,0.09079688343747594,0.03181552831290135,0.08685626441199079,0.16120555144945392,0.015560503613463098,0.021205782232728808,0.07133707119861657,0.06195226596549555,0.09377756167203573,0.967311055303782,-0.3456804223539278,0.08782882913619934,-0.058981355124574586,-0.021528053547206216,0.09079688343747594,-0.058209057796715036,1.4019868855219206,1.71902050528069,-0.09079688343747594,0.2511692408818356,0.5,5786746156.703334,-1.0421796399463101,-0.12357088778094814,1.160590481058578,0
2024-08-31,A,126554.0,38.771,0.156,23.678,32.408,32.63,33.787,33.787,6.327,21.993,0.217,0.188,0.248,0.209,0.542,0.202,0.228,0.151,0.212,0.161,0.074,0.213,0.155,0.213,0.249,0.33,0.698,0.302,0.323,0.302,0.034,0.032,0.326,0.254,1.682,0.063,0.529,0.36,0.811,3.349,0.431,0.449,0.346,0.817,0.914,1.819,2.415,141.641,0.61,5.095,6.415,0.774,1.107,0.072,0.008,0.0,-0.061,6.71,0.661,00846U10,33581115.0,142.92,0.010749646393210632,0.0959282263630088,0.040477577169481416,0.18047410588915502,0.008051573298009207,0.01821831485000933,0.05172598376472431,0.05874653954495157,0.09354555034923043,0.8762920698266078,-0.08854892850514451,0.009419829887810673,0.08517857996979816,0.14652519782486095,0.09079688343747594,-0.058209057796715036,0.6890206211807396,1.9292644622368158,-0.010749646393210632,0.13705612892906346,0.5,5769443175.383334,-1.1193907707840614,0.3374205262226213,1.1177396086399038,0
2024-09-30,A,126554.0,39.049,0.145,21.386,29.0,29.114,30.805,30.805,6.566,23.887,0.192,0.217,0.288,0.249,0.581,0.237,0.256,0.173,0.237,0.188,0.074,0.237,0.176,0.237,0.287,0.347,0.714,0.286,0.331,0.286,0.036,0.031,0.35,0.257,1.496,0.15,0.499,0.36,0.793,3.209,0.4,0.446,0.347,0.804,0.897,1.71,2.244,144.082,0.597,5.134,5.642,0.768,1.076,0.074,0.008,0.0,-0.034,7.227,0.636,00846U10,30999856.0,148.48,0.03890288273159803,0.145413870246085,0.02041096831832867,0.3278483276694688,0.004646530553896818,0.0241281913876061,0.04060614112833902,0.05569240152621638,0.08880534978726355,0.8360673770050961,-0.07686638755145558,0.032525431123344016,0.10651098751448695,0.25454726314004417,0.09079688343747594,-0.058209057796715036,0.36649466999049246,3.691763260376108,-0.03890288273159803,0.08343203788239463,0.5,4870650979.426666,-1.1484545524851049,0.48835612398739,1.046462109052769,0
2024-10-31,A,126554.0,34.27,0.145,21.386,25.451,25.551,27.035,27.035,5.763,20.964,0.192,0.217,0.288,0.249,0.581,0.237,0.256,0.173,0.237,0.188,0.074,0.237,0.176,0.237,0.287,0.347,0.714,0.286,0.331,0.286,0.036,0.031,0.35,0.257,1.496,0.15,0.499,0.36,0.793,3.209,0.4,0.446,0.347,0.804,0.897,1.71,2.244,144.082,0.597,5.134,5.642,0.768,1.076,0.074,0.008,0.0,-0.034,6.343,0.724,00846U10,30670662.0,130.31,-0.12237338362068961,-0.07842998585572847,-0.04910974897840037,0.2606172003482634,-0.006047523750098945,-0.01772940147190696,0.08614365900918153,0.07349186997765592,0.09457401054944567,0.815694748773213,-0.010619210618268649,-0.09981932640900644,0.043943397764961145,-0.11024551416862982,0.09079688343747594,-0.12237338362068961,-0.6682337650862802,2.7556957649798113,0.12237338362068961,-0.08228833681790383,0.5,4466321846.633333,-0.5668878533927074,-0.4883165286126346,0.72300676833801,0
2024-11-30,A,126554.0,36.285,0.145,21.386,26.947,27.053,28.624,28.624,6.102,22.196,0.192,0.217,0.288,0.249,0.581,0.237,0.256,0.173,0.237,0.188,0.074,0.237,0.176,0.237,0.287,0.347,0.714,0.286,0.331,0.286,0.036,0.031,0.35,0.257,1.496,0.15,0.499,0.36,0.793,3.209,0.4,0.446,0.347,0.804,0.897,1.71,2.244,144.082,0.597,5.134,5.642,0.768,1.076,0.074,0.008,0.0,-0.034,6.716,0.684,00846U10,44273508.0,137.97,0.058782902309876484,-0.03463476070528959,0.05797101449275366,0.0795774647887324,0.01181296580592541,0.004131256751459736,0.09935026354530029,0.07416499831207321,0.06853310967229156,1.141673291732305,0.4435132831498714,0.0671108695776952,-0.09341766301516607,-0.1305629870682984,0.09079688343747594,-0.12237338362068961,0.7816492390227243,1.161153567512874,-0.058782902309876484,0.1592795263908527,0.6666666666666666,4902656160.953334,-0.4401696415296201,-1.327803059643115,-0.5673881939895877,1
2024-12-31,A,126554.0,33.584,0.161,22.056,28.164,28.223,30.325,30.325,5.894,21.911,0.213,0.198,0.284,0.245,0.58,0.234,0.237,0.163,0.217,0.175,0.153,0.22,0.159,0.22,0.276,0.319,0.628,0.372,0.381,0.372,0.03,0.03,0.223,0.302,1.935,0.024,0.586,0.294,0.784,3.042,0.583,0.502,0.411,1.008,0.701,1.576,2.089,142.988,0.576,4.979,5.591,0.694,1.104,0.074,0.008,0.0,-0.041,6.413,0.738,00846U10,31740558.0,134.34,-0.02631006740595776,-0.09523168103448265,0.0363341819023375,-0.033733726533841546,0.008424810640918953,-0.004566264436373833,0.09063348732614271,0.0755911276381151,0.06432189426703845,0.9151122641228966,-0.2830801209608238,-0.024076665353092032,-0.06892161362852489,-0.24064555128056764,0.09079688343747594,-0.12237338362068961,0.48066728249224877,-0.5244516959309807,0.02631006740595776,0.11145237416290288,0.6666666666666666,4789712141.900001,-0.28316410572838646,-1.086767858208969,-0.371214981863211,0
2024-06-30,AAL,1045.0,-4.658,0.6159166666666667,8.665,4.821,5.221,18.883,18.883,0.14,2.807,0.0,0.009,0.111,0.068,0.258,0.013,0.051,0.089,0.2742777777777778,0.099,0.267,-0.098,0.082,-0.098,0.066,0.211,-0.164,1.164,1.332,1.164,0.058,0.051,0.15,0.632,6.999,0.126,0.512,0.056,-0.1,1.819,2.009472222222222,1.078,1.131,-13.877,0.441,0.558,0.658,13.667,0.817,25.968,16.162,1.722,4.7123333333333335,0.0,0.002,0.0,-0.033,1.9030833333333332,0.0,02376R10,599697580.0,11.33,-0.014782608695652177,-0.26188925081433223,-0.17540029112081512,-0.36845039018952064,-0.027819536107822913,-0.042640612570979945,0.07051474414532426,0.09399640351103304,0.1013198268333176,0.8541565364939306,-0.21240876341872028,-0.012626661843823326,-0.24710664211868005,-0.3790653789074909,0.1018973998594519,-0.14877868245743897,-1.866031939192515,-3.636508289692032,0.014782608695652177,-0.29596383551587196,0.3333333333333333,8619227334.800001,-1.305376226741267,-0.03926429279343763,0.4045286697250889,0
2024-06-30,AAPL,1690.0,38.916,0.028,22.661,32.604,32.756,32.756,32.756,8.401,28.998,0.151,0.263,0.34,0.31,0.486,0.309,0.293,0.378,1.549,0.667,0.147,1.552,0.273,1.552,0.668,0.538,0.409,0.591,0.673,0.591,0.036,0.031,0.239,0.323,0.86,0.122,0.353,0.381,0.922,5.984,1.443,0.804,0.709,4.092,0.5,0.969,1.019,67.731,1.107,7.974,3.659,2.305,5.639,0.08,0.0,0.0,-0.03,43.213,0.475,03783310,1716110120.0,210.62,0.09555266579973987,0.22824819220900405,0.09395938295330608,0.0858380161880703,0.017371714918511028,0.046501222290524544,0.07057809734747304,0.07580410929251556,0.06896027196269373,1.284691321778886,0.3046294748323741,0.12275568052576397,0.1326955264092642,0.3375818025554437,0.12869136382316682,-0.05128630705394199,1.2395024996696724,1.2447459057949644,-0.09555266579973987,0.2291658734683689,0.3333333333333333,274999351275.86664,1.2614148388312023,0.8655159322408351,0.6670415039617643,1
2024-07-31,AAPL,1690.0,40.984,0.028,22.661,34.378,34.538,34.538,34.538,8.848,30.539,0.151,0.263,0.34,0.31,0.486,0.309,0.293,0.378,1.549,0.667,0.147,1.552,0.273,1.552,0.668,0.538,0.409,0.591,0.673,0.591,0.036,0.031,0.239,0.323,0.86,0.122,0.353,0.381,0.922,5.984,1.443,0.804,0.709,4.092,0.5,0.969,1.019,67.731,1.107,7.974,3.659,2.305,5.639,0.08,0.0,0.0,-0.03,45.51,0.45,03783310,1145007650.0,222.08,0.054410787199696165,0.3038219926025949,0.20433839479392635,0.13046576737083249,0.03347804368074505,0.04876109797885929,0.03721207587361915,0.07070317663356324,0.07020373167693861,0.8610888739493822,-0.3327889413064006,0.046852523480485825,0.24941120540289874,0.3801235110407727,0.12869136382316682,-0.05128630705394199,2.890087893121985,1.8583879268869334,-0.054410787199696165,0.4735012664883973,0.5,289538712454.63336,0.6478160890576997,0.24311648292769758,0.48369622746540913,0
