date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,ret_12m,SMA_6,EMA_6,vol_3m,vol_6m,vol_12m,RVOL_6,vol_ROC,vol_mom,mom_reversal,mom_accel,max_ret_6m,min_ret_6m,sharpe_6m,sharpe_12m,reversal_1m,trend_consistency,up_down_ratio,avg_dollar_vol_3m,vol_regime,skew_6m,skew_12m,confirmed_mom
2017-06-30,A,126554.0,31.807,0.247,17.04,29.655,29.955,33.32,33.32,4.408,23.646,0.276,0.134,0.241,0.189,0.58,0.155,0.186,0.134,0.136,0.132,0.151,0.136,0.109,0.136,0.194,0.319,0.706,0.293,0.321,0.294,0.042,0.039,0.644,0.249,1.881,0.085,0.506,0.223,0.813,5.466,0.414,0.451,0.34,0.82,2.086,2.843,3.34,110.344,0.55,6.78,6.881,0.708,1.002,0.077,0.007,0.0,-0.029,4.359,0.89,00846U10,42755696.0,59.31,-0.01706993702353332,0.1218082088140724,0.30179982440737496,0.33701532912533816,0.04554808869438289,0.03243861906899137,0.05659092144813543,0.038936886978602085,0.04938797392151512,1.0211667670381666,-0.160707235402467,-0.017431252403866625,0.13887814583760572,-0.03863955237995742,0.0960944595821982,-0.01706993702353332,7.751000345077156,6.823833868157983,0.01706993702353332,1.169792765390156,0.8333333333333334,2463580772.34,-0.7527849376138974,-0.48098141676882844,-0.48325632801767243,1
2017-07-31,A,126554.0,32.064,0.247,17.04,29.895,30.197,33.59,33.59,4.443,23.837,0.276,0.134,0.241,0.189,0.58,0.155,0.186,0.134,0.136,0.132,0.151,0.136,0.109,0.136,0.194,0.319,0.706,0.293,0.321,0.294,0.042,0.039,0.644,0.249,1.881,0.085,0.506,0.223,0.813,5.466,0.414,0.451,0.34,0.82,2.086,2.843,3.34,110.344,0.55,6.78,6.881,0.708,1.002,0.077,0.007,0.0,-0.029,4.394,0.883,00846U10,32230696.0,59.79,0.008093070308548223,0.08610354223433236,0.22095160302225847,0.24277696944502192,0.03442254100363612,0.025482747994579044,0.059418855188155796,0.03842454652441217,0.045902883935451555,0.811477288939359,-0.2461660313049283,0.006567342753176333,0.07801047192578414,-0.03805410530497744,0.0960944595821982,-0.01706993702353332,5.750272235012113,5.288926285904256,-0.008093070308548223,0.8958476837655465,0.8333333333333334,2512261947.82,-0.670513699603036,0.4353063148461334,-0.3356882241098984,0
2017-08-31,A,126554.0,34.708,0.247,17.04,32.36,32.687,36.36,36.36,4.81,25.803,0.276,0.134,0.241,0.189,0.58,0.155,0.186,0.134,0.136,0.132,0.151,0.136,0.109,0.136,0.194,0.319,0.706,0.293,0.321,0.294,0.042,0.039,0.644,0.249,1.881,0.085,0.506,0.223,0.813,5.466,0.414,0.451,0.34,0.82,2.086,2.843,3.34,110.344,0.55,6.78,6.881,0.708,1.002,0.077,0.007,0.0,-0.029,4.757,0.816,00846U10,43187376.0,64.72,0.08245526007693593,0.07258866423599586,0.26159844054580894,0.37760749255002146,0.040235059164304386,0.04176060858953816,0.051749681259938465,0.04315909190798952,0.047111134868517465,1.0692367628459434,0.33994549791912654,0.08816419536428333,-0.009866595840940073,-0.10362965935074886,0.0960944595821982,-0.01706993702353332,6.061259145662942,8.015249337632955,-0.08245526007693593,0.9322499011351106,0.8333333333333334,2419333539.44,-0.26923834644474703,0.10178471110349019,-0.6487871194723709,1
2017-09-30,A,126554.0,35.623,0.239,17.529,30.141,30.571,33.093,33.093,4.702,24.744,0.261,0.144,0.243,0.194,0.584,0.166,0.193,0.136,0.146,0.136,0.151,0.147,0.116,0.147,0.198,0.321,0.705,0.294,0.323,0.295,0.043,0.039,0.658,0.251,1.881,0.088,0.508,0.223,0.796,5.374,0.416,0.451,0.342,0.823,2.126,2.885,3.377,110.693,0.55,6.66,6.858,0.707,1.003,0.076,0.007,0.0,-0.025,4.484,0.822,00846U10,27878022.0,64.2,-0.00803461063040789,0.08244815376833592,0.21429922451295647,0.36334678275642385,0.03379524264273217,0.027533403098125003,0.048267059264489216,0.04754349151904119,0.04771747167901885,0.729322543006366,-0.35448678336002637,-0.005859822657035064,0.09048276439874381,-0.039360055045736475,0.0960944595821982,-0.01706993702353332,4.507435564069364,7.6145438970561745,0.00803461063040789,0.7108279506396192,0.6666666666666666,2170643100.3199997,0.11192333212267792,0.3786813552649024,-0.5892680351475295,0
2017-10-31,A,126554.0,37.748,0.239,17.529,31.939,32.395,35.067,35.067,4.983,26.22,0.261,0.144,0.243,0.194,0.584,0.166,0.193,0.136,0.146,0.136,0.151,0.147,0.116,0.147,0.198,0.321,0.705,0.294,0.323,0.295,0.043,0.039,0.658,0.251,1.881,0.088,0.508,0.223,0.796,5.374,0.416,0.451,0.342,0.823,2.126,2.885,3.377,110.693,0.55,6.66,6.858,0.707,1.003,0.076,0.007,0.0,-0.025,4.751,0.776,00846U10,31325110.0,68.03,0.059657320872274155,0.13781568824218104,0.23578564940962776,0.5613954555887077,0.036865927197669214,0.03671166531931047,0.04706442450367911,0.048700856227653806,0.0359304059765936,0.8231917048110698,0.12364894467763898,0.04910941167330838,0.07815836736990689,0.05171214600784868,0.0960944595821982,-0.01706993702353332,4.841509321878033,15.624523028056558,-0.059657320872274155,0.7569872493686391,0.6666666666666666,2238634406.8066664,0.4564714020560651,0.11199267690926146,0.030327878820852364,0
2017-11-30,A,126554.0,38.42,0.239,17.529,32.507,32.971,35.691,35.691,5.071,26.687,0.261,0.144,0.243,0.194,0.584,0.166,0.193,0.136,0.146,0.136,0.151,0.147,0.116,0.147,0.198,0.321,0.705,0.294,0.323,0.295,0.043,0.039,0.658,0.251,1.881,0.088,0.508,0.223,0.796,5.374,0.416,0.451,0.342,0.823,2.126,2.885,3.377,110.693,0.55,6.66,6.858,0.707,1.003,0.076,0.007,0.0,-0.025,4.836,0.763,00846U10,41889432.0,69.24,0.017786270762898626,0.06983930778739178,0.14749751408684109,0.5743519781718962,0.02381456239445262,0.03130440973176423,0.0341616264829239,0.03922461596604068,0.03539338547602294,1.1462616704875603,0.33724772235436684,0.02038772043642423,0.052053037024493154,-0.002749356448604079,0.08245526007693593,-0.01706993702353332,3.760330355166239,16.227664306399507,-0.017786270762898626,0.6071330925220644,0.6666666666666666,2273746839.1266665,-0.32271601831289837,0.7105820392501039,-0.0008854446960584207,1
2017-12-31,A,126554.0,38.465,0.224,21.84,30.303,30.72,31.89,31.89,4.837,24.334,0.249,0.153,0.245,0.197,0.588,0.18,0.2,0.135,0.148,0.136,0.148,0.151,0.123,0.151,0.192,0.312,0.728,0.271,0.303,0.272,0.043,0.04,0.746,0.239,1.837,0.104,0.502,0.248,0.802,4.744,0.367,0.426,0.324,0.743,2.12,2.846,3.301,109.364,0.551,6.601,6.708,0.674,0.926,0.076,0.008,0.0,-0.025,4.408,0.89,00846U10,35805997.0,66.97,-0.03278451761987289,0.043146417445482754,0.12915191367391654,0.4699297629499559,0.021195465628396026,0.012993287631296483,0.046289096950083,0.04285699020464641,0.04105779146023108,1.0118659992126005,-0.14522600831636967,-0.03317353868013578,0.07593093506535564,-0.039301736322853165,0.08245526007693593,-0.03278451761987289,3.013555386348954,11.445568459402738,0.03278451761987289,0.49456262624103003,0.6666666666666666,2476466374.69,0.1207797242671622,0.38964690649544337,-0.08033421058649205,1
2017-06-30,AAL,1045.0,13.571,0.165,5.946,9.512,9.548,11.675,11.675,0.605,3.988,0.092,0.057,0.18,0.134,0.347,0.092,0.104,0.144,0.538,0.198,0.378,0.539,0.133,0.539,0.133,0.274,0.153,0.847,0.915,0.847,0.048,0.044,0.154,0.461,3.25,0.074,0.463,0.137,0.043,1.541,5.515,0.923,0.865,11.923,0.501,0.663,0.737,4.683,0.787,25.809,15.083,1.561,10.176,0.0,0.003,0.304,-0.075,7.098,0.795,02376R10,133194522.0,50.32,0.03945465812848603,0.18959810874704508,0.07774684086528172,0.7774637937124691,0.015119986328017162,0.03908133228757095,0.06679174018811682,0.07921131524649123,0.09387161215988711,0.9564964838912504,0.01864218635239112,0.03773824177302823,0.15014345061855905,0.28362252511029207,0.13585171281088693,-0.08757549611734261,0.9815118032486604,8.282203488614337,-0.03945465812848603,0.19088164716071826,0.6666666666666666,6279711438.943333,-0.8564836920154255,0.2531230544616484,0.7115660053041822,0
2017-07-31,AAL,1045.0,13.585,0.165,5.946,9.535,9.571,11.703,11.703,0.606,3.992,0.092,0.057,0.18,0.134,0.347,0.092,0.104,0.144,0.538,0.198,0.378,0.539,0.133,0.539,0.133,0.274,0.153,0.847,0.915,0.847,0.048,0.044,0.154,0.461,3.25,0.074,0.463,0.137,0.043,1.541,5.515,0.923,0.865,11.923,0.501,0.663,0.737,4.683,0.787,25.809,15.083,1.561,10.176,0.0,0.003,0.304,-0.075,7.106,0.793,02376R10,111391938.0,50.44,0.0023847376788552754,0.1834819333646176,0.13988700564971746,0.42084507042253505,0.02422737335673762,0.028596590970795043,0.06889606254409386,0.07279653194832589,0.06989776881786254,0.8357457971814239,-0.1636897949902174,0.001993034492483481,0.18109719568576232,0.220318091556708,0.13585171281088693,-0.08757549611734261,1.921616344979391,6.020865580404436,-0.0023847376788552754,0.33280944446550353,0.8333333333333334,6216966845.276668,-0.9090137649706737,-0.004117735209074841,0.19809274499600205,0
2017-08-31,AAL,1045.0,10.487,0.151,6.305,8.076,8.105,10.238,10.238,0.526,3.871,0.093,0.054,0.177,0.131,0.344,0.087,0.101,0.143,0.559,0.195,0.378,0.559,0.127,0.559,0.13,0.274,0.147,0.853,0.927,0.853,0.048,0.044,0.15,0.466,3.304,0.079,0.463,0.137,-0.041,1.523,5.82,0.926,0.872,12.575,0.486,0.643,0.719,5.281,0.795,26.57,15.482,1.582,10.797,0.0,0.003,0.304,-0.066,5.865,0.894,02376R10,122848202.0,44.74,-0.11300555114988098,-0.07581078289609577,-0.034943917169974026,0.23250688705234168,-0.0025541544714440625,-0.011861163920826673,0.07951227700940765,0.08997316731095907,0.08152659465312781,0.9074834276585324,0.1028464375940743,-0.1025506649019356,0.037194768253785204,-0.12002993733958156,0.13585171281088693,-0.11300555114988098,-0.3883815387892622,2.8519146180653263,0.11300555114988098,-0.028387957740962585,0.6666666666666666,5939062085.746667,-0.20017257207647762,0.31492308927933116,0.015122186159821398,0
