tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
AAL,2017-01-31,001045,2030,203020,20,147200072.0000,44.2500
AAL,2017-02-28,001045,2030,203020,20,110320689.0000,46.3600
AAL,2017-03-31,001045,2030,203020,20,177795855.0000,42.3000
AAL,2017-04-30,001045,2030,203020,20,136246906.0000,42.6200
AAL,2017-05-31,001045,2030,203020,20,130756927.0000,48.4100
AAL,2017-06-30,001045,2030,203020,20,133194522.0000,50.3200
AAL,2017-07-31,001045,2030,203020,20,111391938.0000,50.4400
PNW,2018-05-31,001075,5510,551010,55,18062543.0000,79.6100
PNW,2018-06-30,001075,5510,551010,55,18578899.0000,80.5600
PNW,2018-07-31,001075,5510,551010,55,18159595.0000,80.4300
PNW,2018-08-31,001075,5510,551010,55,21502386.0000,78.5500
PNW,2018-09-30,001075,5510,551010,55,15774802.0000,79.1800
PNW,2018-10-31,001075,5510,551010,55,23067378.0000,82.2500
PNW,2018-11-30,001075,5510,551010,55,24980918.0000,89.3600
PNW,2018-12-31,001075,5510,551010,55,21460975.0000,85.2000
ABT,2017-01-31,001078,3510,351010,35,211230835.0000,41.7700
ABT,2017-02-28,001078,3510,351010,35,165448294.0000,45.0800
ABT,2017-03-31,001078,3510,351010,35,147273351.0000,44.4100
ABT,2017-04-30,001078,3510,351010,35,135408756.0000,43.6400
ABT,2017-05-31,001078,3510,351010,35,132858327.0000,45.6600
ABT,2017-06-30,001078,3510,351010,35,160389022.0000,48.6100
ABT,2017-07-31,001078,3510,351010,35,114204788.0000,49.1800
ABT,2017-08-31,001078,3510,351010,35,101430914.0000,50.9400
ABT,2017-09-30,001078,3510,351010,35,124814809.0000,53.3600
ABT,2017-10-31,001078,3510,351010,35,124880418.0000,54.2300
ABT,2017-11-30,001078,3510,351010,35,110235408.0000,56.3700
ABT,2017-12-31,001078,3510,351010,35,128075158.0000,57.0700
ABT,2018-01-31,001078,3510,351010,35,153918003.0000,62.1600
ABT,2018-02-28,001078,3510,351010,35,139904162.0000,60.3300
ABT,2018-03-31,001078,3510,351010,35,136394785.0000,59.9200
ABT,2018-04-30,001078,3510,351010,35,132901865.0000,58.1300
ABT,2018-05-31,001078,3510,351010,35,118552361.0000,61.5300
ABT,2018-06-30,001078,3510,351010,35,106640480.0000,60.9900
ABT,2018-07-31,001078,3510,351010,35,107851712.0000,65.5400
ABT,2018-08-31,001078,3510,351010,35,94450980.0000,66.8400
ABT,2018-09-30,001078,3510,351010,35,108168582.0000,73.3600
ABT,2018-10-31,001078,3510,351010,35,181323816.0000,68.9400
ABT,2018-11-30,001078,3510,351010,35,132304771.0000,74.0500
ABT,2018-12-31,001078,3510,351010,35,138650400.0000,72.3300
APD,2018-04-30,001209,1510,151010,15,18162132.0000,162.2900
APD,2018-05-31,001209,1510,151010,15,19591600.0000,161.4100
APD,2018-06-30,001209,1510,151010,15,22000622.0000,155.7300
APD,2018-07-31,001209,1510,151010,15,23040902.0000,164.1700
APD,2018-08-31,001209,1510,151010,15,21986354.0000,166.2900
APD,2018-09-30,001209,1510,151010,15,15267731.0000,167.0500
APD,2018-10-31,001209,1510,151010,15,26354302.0000,154.3500
APD,2018-11-30,001209,1510,151010,15,23257055.0000,160.8700
APD,2018-12-31,001209,1510,151010,15,27877368.0000,160.0500
HON,2017-01-31,001300,2010,201050,20,66476054.0000,118.3200
HON,2017-02-28,001300,2010,201050,20,56488389.0000,124.5000
HON,2017-03-31,001300,2010,201050,20,58868300.0000,124.8700
HON,2017-04-30,001300,2010,201050,20,61500464.0000,131.1400
HON,2017-05-31,001300,2010,201050,20,59550079.0000,132.9900
HON,2017-06-30,001300,2010,201050,20,54046999.0000,133.2900
HON,2017-07-31,001300,2010,201050,20,46402992.0000,136.1200
HON,2017-08-31,001300,2010,201050,20,55060714.0000,138.2700
HON,2017-09-30,001300,2010,201050,20,56690238.0000,141.7400
HON,2017-10-31,001300,2010,201050,20,54795860.0000,144.1600
HON,2017-11-30,001300,2010,201050,20,53207885.0000,155.9600
HON,2017-12-31,001300,2010,201050,20,59151907.0000,153.3600
HON,2018-01-31,001300,2010,201050,20,71981179.0000,159.6700
HON,2018-02-28,001300,2010,201050,20,68158288.0000,151.1100
HON,2018-03-31,001300,2010,201050,20,62255567.0000,144.5100
HON,2018-04-30,001300,2010,201050,20,60670830.0000,144.6800
HON,2018-05-31,001300,2010,201050,20,56536852.0000,147.9100
HON,2018-06-30,001300,2010,201050,20,52150773.0000,144.0500
HON,2018-07-31,001300,2010,201050,20,61454755.0000,159.6500
HON,2018-08-31,001300,2010,201050,20,53492729.0000,159.0600
HON,2018-09-30,001300,2010,201050,20,46541139.0000,166.4000
HON,2018-10-31,001300,2010,201050,20,86343885.0000,144.8200
HON,2018-11-30,001300,2010,201050,20,67250265.0000,146.7500
HON,2018-12-31,001300,2010,201050,20,67757436.0000,132.1200
SWKS,2017-09-30,001327,4530,453010,45,33310816.0000,101.9000
SWKS,2017-10-31,001327,4530,453010,45,32897233.0000,113.8600
SWKS,2017-11-30,001327,4530,453010,45,50847933.0000,104.7400
SWKS,2017-12-31,001327,4530,453010,45,51544693.0000,94.9500
SWKS,2018-01-31,001327,4530,453010,45,50630771.0000,97.2100
SWKS,2018-02-28,001327,4530,453010,45,59113714.0000,109.2500
SWKS,2018-03-31,001327,4530,453010,45,39833138.0000,100.2600
SWKS,2018-04-30,001327,4530,453010,45,41920888.0000,86.7600
SWKS,2018-05-31,001327,4530,453010,45,49662409.0000,98.6100
SWKS,2018-06-30,001327,4530,453010,45,37215601.0000,96.6500
SWKS,2018-07-31,001327,4530,453010,45,40460252.0000,94.5800
SWKS,2018-08-31,001327,4530,453010,45,32677762.0000,91.3000
SWKS,2018-09-30,001327,4530,453010,45,42311145.0000,90.7100
SWKS,2018-10-31,001327,4530,453010,45,38319302.0000,86.7600
SWKS,2018-11-30,001327,4530,453010,45,63665755.0000,72.7700
SWKS,2018-12-31,001327,4530,453010,45,40249937.0000,67.0200
AEP,2018-04-30,001440,5510,551010,55,47636433.0000,69.9800
AEP,2018-05-31,001440,5510,551010,55,63828465.0000,67.9500
AEP,2018-06-30,001440,5510,551010,55,74126800.0000,69.2500
AEP,2018-07-31,001440,5510,551010,55,62997925.0000,71.1400
AEP,2018-08-31,001440,5510,551010,55,48262264.0000,71.7300
AEP,2018-09-30,001440,5510,551010,55,43611549.0000,70.8800
AEP,2018-10-31,001440,5510,551010,55,72774652.0000,73.3600
AEP,2018-11-30,001440,5510,551010,55,54549540.0000,77.7400
AEP,2018-12-31,001440,5510,551010,55,52624759.0000,74.7400
AXP,2017-01-31,001447,4020,402020,40,103786463.0000,76.3800
AXP,2017-02-28,001447,4020,402020,40,65762402.0000,80.0600
AXP,2017-03-31,001447,4020,402020,40,97915085.0000,79.1100
AXP,2017-04-30,001447,4020,402020,40,77810933.0000,79.2500
AXP,2017-05-31,001447,4020,402020,40,66082917.0000,76.9400
AXP,2017-06-30,001447,4020,402020,40,77361655.0000,84.2400
AXP,2017-07-31,001447,4020,402020,40,70956864.0000,85.2300
AXP,2017-08-31,001447,4020,402020,40,66014389.0000,86.1000
AXP,2017-09-30,001447,4020,402020,40,65146036.0000,90.4600
AXP,2017-10-31,001447,4020,402020,40,76827525.0000,95.5200
AXP,2017-11-30,001447,4020,402020,40,61161040.0000,97.7100
AXP,2017-12-31,001447,4020,402020,40,65039654.0000,99.3100
AXP,2018-01-31,001447,4020,402020,40,81533317.0000,99.4000
AXP,2018-02-28,001447,4020,402020,40,87820004.0000,97.5100
AXP,2018-03-31,001447,4020,402020,40,78112121.0000,93.2800
AXP,2018-04-30,001447,4020,402020,40,83804363.0000,98.7500
AXP,2018-05-31,001447,4020,402020,40,61025687.0000,98.3000
AXP,2018-06-30,001447,4020,402020,40,85029853.0000,98.0000
AXP,2018-07-31,001447,4020,402020,40,76178141.0000,99.5200
AXP,2018-08-31,001447,4020,402020,40,52848910.0000,105.9800
AXP,2018-09-30,001447,4020,402020,40,59380935.0000,106.4900
AXP,2018-10-31,001447,4020,402020,40,88249641.0000,102.7300
AXP,2018-11-30,001447,4020,402020,40,72167242.0000,112.2700
AXP,2018-12-31,001447,4020,402020,40,96310475.0000,95.3200
AME,2017-01-31,001598,2010,201040,20,31383699.0000,51.1000
AME,2017-02-28,001598,2010,201040,20,42878056.0000,53.9700
AME,2017-03-31,001598,2010,201040,20,33356478.0000,54.0800
AME,2017-04-30,001598,2010,201040,20,28752197.0000,57.2000
AME,2017-05-31,001598,2010,201040,20,36133562.0000,61.0200
AME,2017-06-30,001598,2010,201040,20,26568179.0000,60.5700
AME,2017-07-31,001598,2010,201040,20,17044460.0000,61.5800
AME,2017-08-31,001598,2010,201040,20,20156983.0000,63.2500
AME,2017-09-30,001598,2010,201040,20,19669540.0000,66.0400
AME,2017-10-31,001598,2010,201040,20,20538722.0000,67.4900
AME,2017-11-30,001598,2010,201040,20,34574110.0000,72.6900
AME,2017-12-31,001598,2010,201040,20,20617511.0000,72.4700
AME,2018-01-31,001598,2010,201040,20,22930433.0000,76.3000
AME,2018-02-28,001598,2010,201040,20,26797788.0000,75.7400
AME,2018-03-31,001598,2010,201040,20,20435131.0000,75.9700
AME,2018-04-30,001598,2010,201040,20,24229132.0000,69.8000
ADI,2017-03-31,001632,4530,453010,45,73426348.0000,81.9500
ADI,2017-04-30,001632,4530,453010,45,63703246.0000,76.2000
ADI,2017-05-31,001632,4530,453010,45,90406192.0000,85.7600
ADI,2017-06-30,001632,4530,453010,45,108724143.0000,77.8000
ADI,2017-07-31,001632,4530,453010,45,44484720.0000,79.0100
ADI,2017-08-31,001632,4530,453010,45,52539228.0000,83.6700
ADI,2017-09-30,001632,4530,453010,45,49354028.0000,86.1700
ADI,2017-10-31,001632,4530,453010,45,39428295.0000,91.3000
ADI,2017-11-30,001632,4530,453010,45,61787979.0000,86.1100
ADI,2017-12-31,001632,4530,453010,45,51549150.0000,89.0300
ADI,2018-01-31,001632,4530,453010,45,67951973.0000,91.8800
ADI,2018-02-28,001632,4530,453010,45,64451170.0000,90.1500
ADI,2018-03-31,001632,4530,453010,45,56685545.0000,91.1300
ADI,2018-04-30,001632,4530,453010,45,54202066.0000,87.3500
ADI,2018-05-31,001632,4530,453010,45,50045606.0000,97.1800
ADI,2018-06-30,001632,4530,453010,45,55362094.0000,95.9200
ADI,2018-07-31,001632,4530,453010,45,39765411.0000,96.1400
ADI,2018-08-31,001632,4530,453010,45,54361779.0000,98.8500
ADI,2018-09-30,001632,4530,453010,45,63404412.0000,92.4600
ADI,2018-10-31,001632,4530,453010,45,94083305.0000,83.7100
ADI,2018-11-30,001632,4530,453010,45,68981904.0000,91.9200
ADI,2018-12-31,001632,4530,453010,45,53084441.0000,85.8300
AAPL,2017-04-30,001690,4520,452020,45,372132920.0000,143.6500
AAPL,2017-05-31,001690,4520,452020,45,651665900.0000,152.7600
AAPL,2017-06-30,001690,4520,452020,45,682274490.0000,144.0200
AAPL,2017-07-31,001690,4520,452020,45,418195790.0000,148.7300
AAPL,2017-08-31,001690,4520,452020,45,655489880.0000,164.0000
AAPL,2017-09-30,001690,4520,452020,45,677053770.0000,154.1200
AAPL,2017-10-31,001690,4520,452020,45,502847840.0000,169.0400
AAPL,2017-11-30,001690,4520,452020,45,597213460.0000,171.8500
AAPL,2017-12-31,001690,4520,452020,45,528580140.0000,169.2300
AAPL,2018-01-31,001690,4520,452020,45,656489210.0000,167.4300
AAPL,2018-02-28,001690,4520,452020,45,921259670.0000,178.1200
AAPL,2018-03-31,001690,4520,452020,45,707989870.0000,167.7800
AAPL,2018-04-30,001690,4520,452020,45,664341130.0000,165.2600
AAPL,2018-05-31,001690,4520,452020,45,617079000.0000,186.8700
AAPL,2018-06-30,001690,4520,452020,45,525582180.0000,185.1100
AAPL,2018-07-31,001690,4520,452020,45,390995520.0000,190.2900
AAPL,2018-08-31,001690,4520,452020,45,696566440.0000,227.6300
AAPL,2018-09-30,001690,4520,452020,45,672626250.0000,225.7400
AAPL,2018-10-31,001690,4520,452020,45,781439540.0000,218.8600
AAPL,2018-11-30,001690,4520,452020,45,952207020.0000,178.5800
AAPL,2018-12-31,001690,4520,452020,45,889288460.0000,157.7400
ADM,2018-11-30,001722,3020,302020,30,79455063.0000,46.0200
ADM,2018-12-31,001722,3020,302020,30,78630127.0000,40.9700
ADP,2017-01-31,001891,2020,202020,20,36216607.0000,100.9900
ADP,2017-02-28,001891,2020,202020,20,41958386.0000,102.6200
ADP,2017-03-31,001891,2020,202020,20,37066040.0000,102.3900
ADP,2017-04-30,001891,2020,202020,20,26467444.0000,104.4900
ADP,2017-05-31,001891,2020,202020,20,57935234.0000,102.3700
ADP,2017-06-30,001891,2020,202020,20,65836657.0000,102.4600
AVY,2017-01-31,001913,1510,151030,15,14995473.0000,73.0200
AVY,2017-02-28,001913,1510,151030,15,16227702.0000,80.7100
AVY,2017-03-31,001913,1510,151030,15,14388914.0000,80.6000
AVY,2017-04-30,001913,1510,151030,15,14450599.0000,83.2100
AVY,2017-05-31,001913,1510,151030,15,11380251.0000,84.2600
