gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
12142,10104,2015-05-31,2015-11-30,2016-01-31,15.096,0.28,13.397,16.58,17.047,17.457,17.457,4.071,11.823,0.269,0.245,0.429,0.356,0.818,0.318,0.321,0.154,0.192,0.157,0.224,0.192,0.126,0.192,0.287,0.22,0.288,0.555,0.44,0.463,0.442,0.036,0.034,0.881,0.005,0.077,0.371,2.46,0.051,0.248,0.641,1.104,0.886,0.232,0.876,15.868,0.79,0.55,0.458,1.235,7.844,9.934,3.545,4.021,4.04,28.179,25.14,0.352,8.307,12.108,0.439,0.79,0.847,0.151,0.001,0.0,-0.035,3.322,,1.65%,ORCL,68389X10
12142,10104,2015-05-31,2015-11-30,2016-02-29,15.291,0.28,13.397,16.795,17.268,17.683,17.683,4.124,11.976,0.269,0.245,0.429,0.356,0.818,0.318,0.321,0.154,0.192,0.157,0.224,0.192,0.126,0.192,0.287,0.22,0.288,0.555,0.44,0.463,0.442,0.036,0.034,0.881,0.005,0.077,0.371,2.46,0.051,0.248,0.641,1.104,0.886,0.232,0.876,15.868,0.79,0.55,0.458,1.235,7.844,9.934,3.545,4.021,4.04,28.179,25.14,0.352,8.307,12.108,0.439,0.79,0.847,0.151,0.001,0.0,-0.035,3.365,,1.63%,ORCL,68389X10
12142,10104,2015-05-31,2015-11-30,2016-03-31,16.8,0.28,13.397,18.68,19.207,19.668,19.668,4.53,13.157,0.269,0.245,0.429,0.356,0.818,0.318,0.321,0.154,0.192,0.157,0.224,0.192,0.126,0.192,0.287,0.22,0.288,0.555,0.44,0.463,0.442,0.036,0.034,0.881,0.005,0.077,0.371,2.46,0.051,0.248,0.641,1.104,0.886,0.232,0.876,15.868,0.79,0.55,0.458,1.235,7.844,9.934,3.545,4.021,4.04,28.179,25.14,0.352,8.307,12.108,0.439,0.79,0.847,0.151,0.001,0.0,-0.035,3.697,,1.47%,ORCL,68389X10
12142,10104,2015-05-31,2016-02-29,2016-04-30,16.277,0.3,13.222,18.626,19.072,19.635,19.635,4.452,11.72,0.291,0.238,0.423,0.352,0.819,0.31,0.312,0.147,0.186,0.15,0.224,0.186,0.121,0.186,0.272,0.209,0.282,0.537,0.458,0.475,0.46,0.036,0.034,0.879,0.004,0.073,0.384,2.643,0.036,0.232,0.66,1.117,1.003,0.232,0.886,15.71,0.852,0.562,0.473,1.294,7.18,9.128,3.793,4.265,4.283,29.443,26.573,0.344,8.393,12.996,0.425,0.792,0.805,0.153,0.001,0.0,-0.05,3.606,,1.51%,ORCL,68389X10
12142,10104,2015-05-31,2016-02-29,2016-05-31,16.416,0.3,13.222,18.785,19.234,19.803,19.803,4.489,11.82,0.291,0.238,0.423,0.352,0.819,0.31,0.312,0.147,0.186,0.15,0.224,0.186,0.121,0.186,0.272,0.209,0.282,0.537,0.458,0.475,0.46,0.036,0.034,0.879,0.004,0.073,0.384,2.643,0.036,0.232,0.66,1.117,1.003,0.232,0.886,15.71,0.852,0.562,0.473,1.294,7.18,9.128,3.793,4.265,4.283,29.443,26.573,0.344,8.393,12.996,0.425,0.792,0.805,0.153,0.001,0.0,-0.05,3.637,,1.49%,ORCL,68389X10
12142,10104,2015-05-31,2016-02-29,2016-06-30,16.605,0.3,13.222,19.126,19.584,20.163,20.163,4.541,11.956,0.291,0.238,0.423,0.352,0.819,0.31,0.312,0.147,0.186,0.15,0.224,0.186,0.121,0.186,0.272,0.209,0.282,0.537,0.458,0.475,0.46,0.036,0.034,0.879,0.004,0.073,0.384,2.643,0.036,0.232,0.66,1.117,1.003,0.232,0.886,15.71,0.852,0.562,0.473,1.294,7.18,9.128,3.793,4.265,4.283,29.443,26.573,0.344,8.393,12.996,0.425,0.792,0.805,0.153,0.001,0.0,-0.05,3.679,,1.47%,ORCL,68389X10
12142,10104,2016-05-31,2016-05-31,2016-07-31,16.686,0.286,13.495,18.826,19.268,19.826,19.826,4.567,12.477,0.285,0.24,0.42,0.352,0.822,0.312,0.311,0.139,0.184,0.144,0.22,0.186,0.117,0.186,0.254,0.193,0.271,0.538,0.456,0.499,0.459,0.037,0.034,0.872,0.003,0.096,0.391,2.819,0.086,0.267,0.623,0.904,0.788,0.211,0.912,16.098,0.845,0.574,0.484,1.362,7.067,8.893,3.262,3.725,3.737,40.595,25.125,0.332,5.864,9.933,0.421,0.783,0.786,0.156,0.002,0.0,-0.042,3.566,,1.46%,ORCL,68389X10
12142,10104,2016-05-31,2016-05-31,2016-08-31,16.759,0.286,13.495,18.908,19.352,19.913,19.913,4.587,12.531,0.285,0.24,0.42,0.352,0.822,0.312,0.311,0.139,0.184,0.144,0.22,0.186,0.117,0.186,0.254,0.193,0.271,0.538,0.456,0.499,0.459,0.037,0.034,0.872,0.003,0.096,0.391,2.819,0.086,0.267,0.623,0.904,0.788,0.211,0.912,16.098,0.845,0.574,0.484,1.362,7.067,8.893,3.262,3.725,3.737,40.595,25.125,0.332,5.864,9.933,0.421,0.783,0.786,0.156,0.002,0.0,-0.042,3.582,,1.46%,ORCL,68389X10
12142,10104,2016-05-31,2016-05-31,2016-09-30,15.904,0.286,13.495,18.018,18.441,18.976,18.976,4.353,11.892,0.285,0.24,0.42,0.352,0.822,0.312,0.311,0.139,0.184,0.144,0.22,0.186,0.117,0.186,0.254,0.193,0.271,0.538,0.456,0.499,0.459,0.037,0.034,0.872,0.003,0.096,0.391,2.819,0.086,0.267,0.623,0.904,0.788,0.211,0.912,16.098,0.845,0.574,0.484,1.362,7.067,8.893,3.262,3.725,3.737,40.595,25.125,0.332,5.864,9.933,0.421,0.783,0.786,0.156,0.002,0.0,-0.042,3.399,,1.53%,ORCL,68389X10
12142,10104,2016-05-31,2016-08-31,2016-10-31,15.498,0.28,13.49,17.306,17.624,18.295,18.295,4.241,11.616,0.279,0.242,0.415,0.351,0.824,0.313,0.309,0.142,0.193,0.147,0.22,0.193,0.122,0.193,0.261,0.202,0.275,0.516,0.479,0.498,0.481,0.035,0.034,0.881,0.004,0.068,0.403,2.917,0.038,0.224,0.67,1.065,0.938,0.211,0.923,16.182,0.928,0.579,0.494,1.386,6.955,8.648,3.929,4.376,4.392,29.686,27.557,0.333,8.546,13.97,0.412,0.798,0.757,0.159,0.002,0.0,-0.041,3.325,,1.56%,ORCL,68389X10
