gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
12142,10104,2013-05-31,2013-11-30,2014-01-31,19.942,0.274,10.147,15.57,15.769,15.769,15.769,4.419,10.921,0.176,0.294,0.466,0.387,0.827,0.37,0.375,0.214,0.253,0.227,0.212,0.253,0.189,0.253,0.449,0.321,0.373,0.676,0.317,0.334,0.32,0.042,0.04,0.909,0.005,0.109,0.26,1.237,0.05,0.336,0.527,1.334,1.159,0.388,0.962,12.803,0.469,0.468,0.335,0.89,13.839,16.89,2.703,3.265,3.283,36.584,27.953,0.451,8.039,16.862,0.58,0.858,1.255,0.132,0.002,0.0,-0.05,3.81,0.732,1.30%,ORCL,68389X10
12142,10104,2013-05-31,2013-11-30,2014-02-28,21.136,0.274,10.147,16.502,16.714,16.714,16.714,4.684,11.575,0.176,0.294,0.466,0.387,0.827,0.37,0.375,0.214,0.253,0.227,0.212,0.253,0.189,0.253,0.449,0.321,0.373,0.676,0.317,0.334,0.32,0.042,0.04,0.909,0.005,0.109,0.26,1.237,0.05,0.336,0.527,1.334,1.159,0.388,0.962,12.803,0.469,0.468,0.335,0.89,13.839,16.89,2.703,3.265,3.283,36.584,27.953,0.451,8.039,16.862,0.58,0.858,1.255,0.132,0.002,0.0,-0.05,4.038,0.776,1.23%,ORCL,68389X10
12142,10104,2013-05-31,2013-11-30,2014-03-31,21.919,0.274,10.147,17.262,17.483,17.483,17.483,4.858,12.004,0.176,0.294,0.466,0.387,0.827,0.37,0.375,0.214,0.253,0.227,0.212,0.253,0.189,0.253,0.449,0.321,0.373,0.676,0.317,0.334,0.32,0.042,0.04,0.909,0.005,0.109,0.26,1.237,0.05,0.336,0.527,1.334,1.159,0.388,0.962,12.803,0.469,0.468,0.335,0.89,13.839,16.89,2.703,3.265,3.283,36.584,27.953,0.451,8.039,16.862,0.58,0.858,1.255,0.132,0.002,0.0,-0.05,4.187,0.812,1.17%,ORCL,68389X10
12142,10104,2013-05-31,2014-02-28,2014-04-30,21.218,0.255,10.288,16.963,17.249,17.176,17.176,4.809,12.129,0.148,0.293,0.467,0.389,0.828,0.37,0.373,0.213,0.254,0.226,0.212,0.254,0.186,0.254,0.448,0.32,0.369,0.666,0.326,0.343,0.329,0.041,0.039,0.901,0.005,0.106,0.268,1.286,0.05,0.332,0.535,1.32,1.122,0.388,0.959,13.249,0.489,0.475,0.344,0.916,13.588,16.716,2.715,3.262,3.28,35.729,27.686,0.446,8.156,16.478,0.572,0.859,1.241,0.134,0.002,0.0,-0.047,4.077,1.02,1.17%,ORCL,68389X10
12142,10104,2013-05-31,2014-02-28,2014-05-31,21.81,0.255,10.288,17.436,17.73,17.655,17.655,4.943,12.467,0.148,0.293,0.467,0.389,0.828,0.37,0.373,0.213,0.254,0.226,0.212,0.254,0.186,0.254,0.448,0.32,0.369,0.666,0.326,0.343,0.329,0.041,0.039,0.901,0.005,0.106,0.268,1.286,0.05,0.332,0.535,1.32,1.122,0.388,0.959,13.249,0.489,0.475,0.344,0.916,13.588,16.716,2.715,3.262,3.28,35.729,27.686,0.446,8.156,16.478,0.572,0.859,1.241,0.134,0.002,0.0,-0.047,4.191,1.048,1.14%,ORCL,68389X10
12142,10104,2013-05-31,2014-02-28,2014-06-30,21.017,0.255,10.288,16.817,17.101,17.029,17.029,4.764,12.014,0.148,0.293,0.467,0.389,0.828,0.37,0.373,0.213,0.254,0.226,0.212,0.254,0.186,0.254,0.448,0.32,0.369,0.666,0.326,0.343,0.329,0.041,0.039,0.901,0.005,0.106,0.268,1.286,0.05,0.332,0.535,1.32,1.122,0.388,0.959,13.249,0.489,0.475,0.344,0.916,13.588,16.716,2.715,3.262,3.28,35.729,27.686,0.446,8.156,16.478,0.572,0.859,1.241,0.134,0.002,0.0,-0.047,4.039,1.011,1.18%,ORCL,68389X10
12142,10104,2014-05-31,2014-05-31,2014-07-31,19.33,0.251,11.874,16.553,16.829,16.971,16.971,4.701,12.059,0.199,0.286,0.466,0.39,0.827,0.361,0.365,0.207,0.238,0.222,0.199,0.239,0.188,0.239,0.435,0.311,0.35,0.669,0.323,0.345,0.326,0.044,0.043,0.905,0.004,0.145,0.268,1.356,0.062,0.335,0.528,1.239,1.037,0.348,0.961,14.014,0.481,0.475,0.345,0.915,12.986,16.33,2.698,3.332,3.345,53.431,30.9,0.445,5.52,14.78,0.546,0.816,1.134,0.135,0.002,0.0,-0.046,3.817,1.34,1.19%,ORCL,68389X10
12142,10104,2014-05-31,2014-05-31,2014-08-31,19.875,0.251,11.874,17.02,17.304,17.45,17.45,4.834,12.399,0.199,0.286,0.466,0.39,0.827,0.361,0.365,0.207,0.238,0.222,0.199,0.239,0.188,0.239,0.435,0.311,0.35,0.669,0.323,0.345,0.326,0.044,0.043,0.905,0.004,0.145,0.268,1.356,0.062,0.335,0.528,1.239,1.037,0.348,0.961,14.014,0.481,0.475,0.345,0.915,12.986,16.33,2.698,3.332,3.345,53.431,30.9,0.445,5.52,14.78,0.546,0.816,1.134,0.135,0.002,0.0,-0.046,3.925,1.378,1.16%,ORCL,68389X10
12142,10104,2014-05-31,2014-05-31,2014-09-30,18.223,0.251,11.874,15.689,15.95,16.084,16.084,4.432,11.369,0.199,0.286,0.466,0.39,0.827,0.361,0.365,0.207,0.238,0.222,0.199,0.239,0.188,0.239,0.435,0.311,0.35,0.669,0.323,0.345,0.326,0.044,0.043,0.905,0.004,0.145,0.268,1.356,0.062,0.335,0.528,1.239,1.037,0.348,0.961,14.014,0.481,0.475,0.345,0.915,12.986,16.33,2.698,3.332,3.345,53.431,30.9,0.445,5.52,14.78,0.546,0.816,1.134,0.135,0.002,0.0,-0.046,3.599,1.27,1.25%,ORCL,68389X10
12142,10104,2014-05-31,2014-08-31,2014-10-31,18.965,0.257,11.331,15.81,16.136,16.271,16.271,4.495,11.268,0.197,0.284,0.465,0.39,0.829,0.361,0.362,0.205,0.245,0.218,0.199,0.245,0.177,0.245,0.431,0.309,0.353,0.64,0.353,0.368,0.355,0.038,0.036,0.929,0.004,0.096,0.29,1.468,0.043,0.305,0.567,1.327,1.138,0.348,0.959,14.479,0.55,0.49,0.369,0.971,12.428,15.689,3.051,3.598,3.613,32.521,31.739,0.426,8.188,15.345,0.54,0.844,1.092,0.136,0.002,0.0,-0.049,3.654,1.476,1.23%,ORCL,68389X10
