tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
AAL,2019-01-31,001045,2030,203020,20,212485103.0000,35.7700
AAL,2019-02-28,001045,2030,203020,20,126385071.0000,35.6300
AAL,2019-03-31,001045,2030,203020,20,151693862.0000,31.7600
AAL,2019-04-30,001045,2030,203020,20,128298645.0000,34.1800
AAL,2019-05-31,001045,2030,203020,20,133049988.0000,27.2300
AAL,2019-06-30,001045,2030,203020,20,124544279.0000,32.6100
AAL,2019-07-31,001045,2030,203020,20,128771090.0000,30.5100
AAL,2019-08-31,001045,2030,203020,20,168250877.0000,26.3100
AAL,2019-09-30,001045,2030,203020,20,141913052.0000,26.9700
AAL,2019-10-31,001045,2030,203020,20,193892104.0000,30.0600
AAL,2019-11-30,001045,2030,203020,20,114632162.0000,28.7400
AAL,2019-12-31,001045,2030,203020,20,133763371.0000,28.6800
AAL,2020-01-31,001045,2030,203020,20,226210976.0000,26.8400
AAL,2020-02-29,001045,2030,203020,20,262642597.0000,19.0500
AAL,2020-03-31,001045,2030,203020,20,1300004210.0000,12.1900
AAL,2020-04-30,001045,2030,203020,20,1727179730.0000,12.0100
AAL,2020-05-31,001045,2030,203020,20,1367659950.0000,10.5000
AAL,2020-06-30,001045,2030,203020,20,3081408000.0000,13.0700
AAL,2020-07-31,001045,2030,203020,20,1619812460.0000,11.1200
AAL,2020-08-31,001045,2030,203020,20,1483287990.0000,13.0500
AAL,2020-09-30,001045,2030,203020,20,1191243570.0000,12.2900
AAL,2020-10-31,001045,2030,203020,20,1341652090.0000,11.2800
AAL,2020-11-30,001045,2030,203020,20,1686882660.0000,14.1300
AAL,2020-12-31,001045,2030,203020,20,1846120400.0000,15.7700
PNW,2019-01-31,001075,5510,551010,55,27746797.0000,88.1200
PNW,2019-02-28,001075,5510,551010,55,18118488.0000,93.7400
PNW,2019-03-31,001075,5510,551010,55,21599646.0000,95.5800
PNW,2019-04-30,001075,5510,551010,55,17414453.0000,95.2700
PNW,2019-05-31,001075,5510,551010,55,18706060.0000,93.9100
PNW,2019-06-30,001075,5510,551010,55,21583621.0000,94.0900
PNW,2019-07-31,001075,5510,551010,55,19148727.0000,91.2200
PNW,2019-08-31,001075,5510,551010,55,23441507.0000,95.3100
PNW,2019-09-30,001075,5510,551010,55,19141565.0000,97.0700
PNW,2019-10-31,001075,5510,551010,55,16271049.0000,94.1200
PNW,2019-11-30,001075,5510,551010,55,23024914.0000,87.3900
PNW,2019-12-31,001075,5510,551010,55,19734348.0000,89.9300
PNW,2020-01-31,001075,5510,551010,55,19725504.0000,97.6900
PNW,2020-02-29,001075,5510,551010,55,20162670.0000,89.4900
PNW,2020-03-31,001075,5510,551010,55,32036064.0000,75.7900
PNW,2020-04-30,001075,5510,551010,55,21684576.0000,76.9900
PNW,2020-05-31,001075,5510,551010,55,28434660.0000,77.9000
PNW,2020-06-30,001075,5510,551010,55,26988338.0000,73.2900
PNW,2020-07-31,001075,5510,551010,55,19292754.0000,83.0800
