gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
12142,10104,2016-05-31,2016-11-30,2017-01-31,16.21,0.294,13.705,18.232,18.569,19.284,19.284,4.419,11.616,0.282,0.237,0.414,0.353,0.827,0.313,0.302,0.138,0.189,0.143,0.22,0.189,0.117,0.189,0.247,0.194,0.266,0.505,0.491,0.514,0.493,0.035,0.033,0.855,0.004,0.066,0.415,3.118,0.045,0.222,0.673,1.019,0.936,0.211,0.887,16.063,0.971,0.589,0.507,1.445,6.551,8.27,3.858,4.288,4.305,27.239,24.856,0.321,8.689,12.563,0.398,0.788,0.745,0.161,0.002,0.0,-0.047,3.395,,1.50%,ORCL,68389X10
12142,10104,2016-05-31,2016-11-30,2017-02-28,17.212,0.294,13.705,19.359,19.718,20.476,20.476,4.692,12.335,0.282,0.237,0.414,0.353,0.827,0.313,0.302,0.138,0.189,0.143,0.22,0.189,0.117,0.189,0.247,0.194,0.266,0.505,0.491,0.514,0.493,0.035,0.033,0.855,0.004,0.066,0.415,3.118,0.045,0.222,0.673,1.019,0.936,0.211,0.887,16.063,0.971,0.589,0.507,1.445,6.551,8.27,3.858,4.288,4.305,27.239,24.856,0.321,8.689,12.563,0.398,0.788,0.745,0.161,0.002,0.0,-0.047,3.605,,1.41%,ORCL,68389X10
12142,10104,2016-05-31,2016-11-30,2017-03-31,18.083,0.294,13.705,20.277,20.653,21.447,21.447,4.93,12.958,0.282,0.237,0.414,0.353,0.827,0.313,0.302,0.138,0.189,0.143,0.22,0.189,0.117,0.189,0.247,0.194,0.266,0.505,0.491,0.514,0.493,0.035,0.033,0.855,0.004,0.066,0.415,3.118,0.045,0.222,0.673,1.019,0.936,0.211,0.887,16.063,0.971,0.589,0.507,1.445,6.551,8.27,3.858,4.288,4.305,27.239,24.856,0.321,8.689,12.563,0.398,0.788,0.745,0.161,0.002,0.0,-0.047,3.788,,1.34%,ORCL,68389X10
12142,10104,2016-05-31,2017-02-28,2017-04-30,18.299,0.289,14.288,20.071,20.53,21.308,21.308,4.943,13.816,0.277,0.238,0.412,0.35,0.828,0.31,0.303,0.133,0.189,0.138,0.22,0.189,0.114,0.189,0.242,0.189,0.256,0.497,0.498,0.529,0.5,0.035,0.033,0.838,0.005,0.063,0.426,3.342,0.059,0.223,0.672,0.957,0.831,0.211,0.875,15.996,1.001,0.596,0.518,1.491,6.311,7.809,3.754,4.16,4.179,28.268,21.224,0.309,8.797,12.331,0.384,0.773,0.73,0.163,0.002,0.0,-0.038,3.655,,1.69%,ORCL,68389X10
12142,10104,2016-05-31,2017-02-28,2017-05-31,18.474,0.289,14.288,20.263,20.726,21.512,21.512,4.99,13.948,0.277,0.238,0.412,0.35,0.828,0.31,0.303,0.133,0.189,0.138,0.22,0.189,0.114,0.189,0.242,0.189,0.256,0.497,0.498,0.529,0.5,0.035,0.033,0.838,0.005,0.063,0.426,3.342,0.059,0.223,0.672,0.957,0.831,0.211,0.875,15.996,1.001,0.596,0.518,1.491,6.311,7.809,3.754,4.16,4.179,28.268,21.224,0.309,8.797,12.331,0.384,0.773,0.73,0.163,0.002,0.0,-0.038,3.69,,1.67%,ORCL,68389X10
12142,10104,2016-05-31,2017-02-28,2017-06-30,20.516,0.289,14.288,22.384,22.895,23.763,23.763,5.542,15.49,0.277,0.238,0.412,0.35,0.828,0.31,0.303,0.133,0.189,0.138,0.22,0.189,0.114,0.189,0.242,0.189,0.256,0.497,0.498,0.529,0.5,0.035,0.033,0.838,0.005,0.063,0.426,3.342,0.059,0.223,0.672,0.957,0.831,0.211,0.875,15.996,1.001,0.596,0.518,1.491,6.311,7.809,3.754,4.16,4.179,28.268,21.224,0.309,8.797,12.331,0.384,0.773,0.73,0.163,0.002,0.0,-0.038,4.098,,1.52%,ORCL,68389X10
12142,10104,2017-05-31,2017-05-31,2017-07-31,20.632,0.289,15.731,21.338,21.899,22.593,22.593,5.475,14.622,0.282,0.247,0.414,0.349,0.829,0.308,0.316,0.126,0.183,0.13,0.188,0.185,0.128,0.185,0.247,0.178,0.232,0.526,0.47,0.566,0.472,0.041,0.035,0.818,0.004,0.082,0.429,3.708,0.169,0.299,0.596,0.646,0.584,0.175,0.857,15.192,0.886,0.598,0.521,1.499,6.192,7.323,2.733,3.07,3.082,42.801,25.27,0.305,6.137,11.889,0.369,0.7,0.75,0.163,0.003,0.0,-0.039,3.802,,1.52%,ORCL,68389X10
12142,10104,2017-05-31,2017-05-31,2017-08-31,20.797,0.289,15.731,21.509,22.075,22.774,22.774,5.518,14.739,0.282,0.247,0.414,0.349,0.829,0.308,0.316,0.126,0.183,0.13,0.188,0.185,0.128,0.185,0.247,0.178,0.232,0.526,0.47,0.566,0.472,0.041,0.035,0.818,0.004,0.082,0.429,3.708,0.169,0.299,0.596,0.646,0.584,0.175,0.857,15.192,0.886,0.598,0.521,1.499,6.192,7.323,2.733,3.07,3.082,42.801,25.27,0.305,6.137,11.889,0.369,0.7,0.75,0.163,0.003,0.0,-0.039,3.833,,1.51%,ORCL,68389X10
12142,10104,2017-05-31,2017-05-31,2017-09-30,20.157,0.289,15.731,20.662,21.206,21.878,21.878,5.348,14.285,0.282,0.247,0.414,0.349,0.829,0.308,0.316,0.126,0.183,0.13,0.188,0.185,0.128,0.185,0.247,0.178,0.232,0.526,0.47,0.566,0.472,0.041,0.035,0.818,0.004,0.082,0.429,3.708,0.169,0.299,0.596,0.646,0.584,0.175,0.857,15.192,0.886,0.598,0.521,1.499,6.192,7.323,2.733,3.07,3.082,42.801,25.27,0.305,6.137,11.889,0.369,0.7,0.75,0.163,0.003,0.0,-0.039,3.715,,1.57%,ORCL,68389X10
12142,10104,2017-05-31,2017-08-31,2017-10-31,21.135,0.267,15.041,21.033,21.568,22.423,22.423,5.556,14.337,0.29,0.252,0.416,0.348,0.828,0.308,0.326,0.125,0.192,0.126,0.188,0.193,0.115,0.193,0.234,0.178,0.245,0.512,0.484,0.538,0.486,0.038,0.034,0.816,0.005,0.061,0.424,3.449,0.101,0.249,0.643,0.832,0.774,0.175,0.852,14.726,0.943,0.593,0.515,1.47,6.212,7.184,3.273,3.622,3.64,27.469,19.723,0.296,8.946,11.51,0.375,0.732,0.757,0.162,0.003,0.0,-0.04,3.796,,1.49%,ORCL,68389X10
