Date,SPY
2019-01-31,243.4745635986328
2019-02-28,251.36688232421875
2019-03-31,255.91676330566406
2019-04-30,266.3716125488281
2019-05-31,249.38479614257812
2019-06-30,266.7386169433594
2019-07-31,270.7714538574219
2019-08-31,266.2378845214844
2019-09-30,271.41839599609375
2019-10-31,277.4179382324219
2019-11-30,287.4599609375
2019-12-31,295.8122253417969
2020-01-31,295.69281005859375
2020-02-29,272.2839660644531
2020-03-31,238.28358459472656
2020-04-30,268.5416259765625
2020-05-31,281.33636474609375
2020-06-30,286.3257141113281
2020-07-31,303.1881103515625
2020-08-31,324.3496398925781
2020-09-30,312.20477294921875
2020-10-31,304.42047119140625
2020-11-30,337.5343017578125
2020-12-31,350.0393981933594
2021-01-31,346.4723815917969
2021-02-28,356.10614013671875
2021-03-31,372.2732238769531
2021-04-30,391.97027587890625
2021-05-31,394.5440673828125
2021-06-30,403.3926696777344
2021-07-31,413.240478515625
2021-08-31,425.53839111328125
2021-09-30,405.7060241699219
2021-10-31,434.17169189453125
2021-11-30,430.6833190917969
2021-12-31,450.60150146484375
2022-01-31,426.8361511230469
2022-02-28,414.2372131347656
2022-03-31,429.8085632324219
2022-04-30,392.0846862792969
2022-05-31,392.96966552734375
2022-06-30,360.5652770996094
2022-07-31,393.7687683105469
2022-08-31,377.7022705078125
2022-09-30,342.7852478027344
2022-10-31,370.6452941894531
2022-11-30,391.25006103515625
2022-12-31,368.7029724121094
2023-01-31,391.88970947265625
2023-02-28,382.0365905761719
2023-03-31,396.2016296386719
2023-04-30,402.5309753417969
2023-05-31,404.3891296386719
2023-06-30,430.5934753417969
2023-07-31,444.6881408691406
2023-08-31,437.4610900878906
2023-09-30,416.7103576660156
2023-10-31,407.66412353515625
2023-11-30,444.9017639160156
2023-12-31,465.21392822265625
2024-01-31,472.6231384277344
2024-02-29,497.28778076171875
2024-03-31,513.550048828125
2024-04-30,492.843994140625
2024-05-31,517.7718505859375
2024-06-30,536.0388793945312
2024-07-31,542.5298461914062
2024-08-31,555.2064208984375
2024-09-30,566.8682861328125
2024-10-31,561.809814453125
2024-11-30,595.3125
2024-12-31,580.9891967773438
2025-01-31,596.5924682617188
2025-02-28,589.018798828125
2025-03-31,556.1991577148438
2025-04-30,551.3768310546875
2025-05-31,586.0280151367188
2025-06-30,616.1417846679688
2025-07-31,630.3324584960938
2025-08-31,643.2666015625
2025-09-30,666.1799926757812
2025-10-31,682.0599975585938
2025-11-30,683.3900146484375
2025-12-31,680.27001953125
