tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
PNW,2013-01-31,001075,5510,551010,55,16182560.0000,53.3800
PNW,2013-02-28,001075,5510,551010,55,13119440.0000,55.9400
PNW,2013-03-31,001075,5510,551010,55,10815434.0000,57.8900
PNW,2013-04-30,001075,5510,551010,55,16139229.0000,60.9000
PNW,2013-05-31,001075,5510,551010,55,17588453.0000,56.4800
PNW,2013-06-30,001075,5510,551010,55,21772229.0000,55.4700
PNW,2013-07-31,001075,5510,551010,55,12742477.0000,58.9000
PNW,2013-08-31,001075,5510,551010,55,13637613.0000,54.2700
PNW,2013-09-30,001075,5510,551010,55,17647384.0000,54.7400
PNW,2013-10-31,001075,5510,551010,55,22504218.0000,56.0300
PNW,2013-11-30,001075,5510,551010,55,20923246.0000,53.3600
PNW,2013-12-31,001075,5510,551010,55,20978649.0000,52.9200
PNW,2014-01-31,001075,5510,551010,55,17494889.0000,52.6300
PNW,2014-02-28,001075,5510,551010,55,21822687.0000,55.6500
PNW,2014-03-31,001075,5510,551010,55,20407924.0000,54.6600
PNW,2014-04-30,001075,5510,551010,55,19928221.0000,55.9500
PNW,2014-05-31,001075,5510,551010,55,20065920.0000,55.4200
PNW,2014-06-30,001075,5510,551010,55,14103541.0000,57.8400
PNW,2014-07-31,001075,5510,551010,55,20625829.0000,53.4900
PNW,2014-08-31,001075,5510,551010,55,19992423.0000,56.9500
PNW,2014-09-30,001075,5510,551010,55,18303379.0000,54.6400
PNW,2014-10-31,001075,5510,551010,55,17923571.0000,61.4700
PNW,2014-11-30,001075,5510,551010,55,14243008.0000,63.2300
PNW,2014-12-31,001075,5510,551010,55,26352456.0000,68.3100
ABT,2013-01-31,001078,3510,351010,35,327307776.0000,33.8800
ABT,2013-02-28,001078,3510,351010,35,198070799.0000,33.7900
ABT,2013-03-31,001078,3510,351010,35,147923813.0000,35.3200
ABT,2013-04-30,001078,3510,351010,35,154939514.0000,36.9200
ABT,2013-05-31,001078,3510,351010,35,158663583.0000,36.6700
ABT,2013-06-30,001078,3510,351010,35,146867224.0000,34.8800
ABT,2013-07-31,001078,3510,351010,35,156749695.0000,36.6300
ABT,2013-08-31,001078,3510,351010,35,132755083.0000,33.3300
ABT,2013-09-30,001078,3510,351010,35,175866474.0000,33.1900
ABT,2013-10-31,001078,3510,351010,35,189660842.0000,36.5500
ABT,2013-11-30,001078,3510,351010,35,123311043.0000,38.1900
ABT,2013-12-31,001078,3510,351010,35,119120166.0000,38.3300
ABT,2014-01-31,001078,3510,351010,35,168323051.0000,36.6600
ABT,2014-02-28,001078,3510,351010,35,166789172.0000,39.7800
ABT,2014-03-31,001078,3510,351010,35,178328337.0000,38.5100
ABT,2014-04-30,001078,3510,351010,35,158410413.0000,38.7400
ABT,2014-05-31,001078,3510,351010,35,112561123.0000,40.0100
ABT,2014-06-30,001078,3510,351010,35,111909775.0000,40.9000
ABT,2014-07-31,001078,3510,351010,35,127308062.0000,42.1200
ABT,2014-08-31,001078,3510,351010,35,75057256.0000,42.2400
ABT,2014-09-30,001078,3510,351010,35,96644430.0000,41.5900
