date,ticker,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,at_turn,rect_turn,pay_turn,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,volume,price,SMA_3,SMA_6,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,EMA_6,EMA_12,RSI,MACD_ratio,vol_SMA_3,vol_SMA_6,vol_ROC,OBV
2022-11-30,A,0.128,23.359,34.671,34.827,35.303,6.89,35.157,0.186,0.199,0.234,0.58,0.225,0.249,0.18,0.256,0.194,0.11,0.258,0.178,0.258,0.368,0.653,0.347,0.366,0.347,0.03,0.028,0.236,0.277,1.543,0.047,0.521,0.279,0.783,4.561,0.53,0.505,0.393,1.022,0.635,5.371,6.034,1.283,0.07,0.01,0.0,0.002,9.012,0.542,30733591.0,154.98,138.29333333333332,132.66666666666666,0.12020238525478866,0.20842105263157884,0.21495766698024443,0.10514677719570528,0.10131674258476767,137.50162767146364,135.4650834076605,69.55777460770328,0.04339728140058528,29807852.333333332,30615470.5,0.13781038963471826,674942998.0
2022-12-31,A,0.131,22.252,34.641,34.802,35.801,6.47,33.771,0.199,0.183,0.242,0.579,0.22,0.229,0.185,0.231,0.2,0.166,0.235,0.16,0.235,0.376,0.652,0.348,0.359,0.348,0.03,0.029,0.201,0.277,1.485,0.03,0.542,0.251,0.778,4.182,0.528,0.496,0.398,0.985,0.645,5.315,6.025,1.291,0.068,0.01,0.0,-0.005,8.262,0.601,25281787.0,149.65,147.66,137.81333333333333,-0.034391534391534306,0.23118058412176068,0.25999831607308255,0.09488295044303283,0.09486695373096696,140.97259119390262,137.64737826802042,73.16926770708285,0.04917521001636065,27675516.333333332,28977888.333333332,-0.17738909846233064,649661211.0
2022-01-31,AAL,0.4410833333333333,-11.824,-1.511,-1.511,-3.016,0.436,-11.124,5.532138888888889,-0.132,-0.295,-0.029,-0.17,-0.041,-0.075,-0.009166666666666668,-0.192,0.2663333333333333,0.463,-0.046,0.463,-0.011,-0.218,1.218,1.341,1.218,0.041,0.037,0.188,0.678,-9.213,0.092,0.554,-0.095,0.415,1.953,4.994395833333333,1.11,1.186,-10.077,0.361,20.011,14.894,5.527229166666667,0.0,0.003,0.724,-0.034,3.2039791666666666,0.0,811208820.0,16.47,17.373333333333335,18.63,-0.0829621380846326,-0.14218750000000002,-0.1918547595682042,0.0555061911897723,0.048725823941617306,18.298292877162986,18.826108086774138,15.151515151515127,-0.11053288301636204,806380736.6666666,719454326.6666666,-0.09512929861615405,1031831459.0
2022-02-28,AAL,0.4410833333333333,-18.185,-2.025,-2.025,-5.583,0.375,15.906,5.532138888888889,-0.067,-0.185,0.064,-0.085,0.011,-0.049,-0.009166666666666668,-0.151,0.2663333333333333,0.281,-0.006,0.281,0.029,-0.211,1.211,1.325,1.211,0.046,0.041,0.182,0.695,-14.526,0.087,0.572,0.01,0.415,1.974,4.994395833333333,1.11,1.181,-10.055,0.465,20.992,18.969,5.527229166666667,0.0,0.004,0.0,-0.042,3.2039791666666666,0.0,758992930.0,17.25,17.22666666666667,18.18166666666667,0.04735883424408027,-0.02487280949689097,-0.13490471414242733,0.06789926078322246,0.059203039588781425,17.99878062654499,18.583629919578115,27.39495798319325,-0.10500613832041106,822231056.6666666,738784606.6666666,-0.06436800083115468,1790824389.0
2022-03-31,AAL,0.4410833333333333,-18.185,-2.142,-2.142,-5.906,0.396,16.828,5.532138888888889,-0.067,-0.185,0.064,-0.085,0.011,-0.049,-0.009166666666666668,-0.151,0.2663333333333333,0.281,-0.006,0.281,0.029,-0.211,1.211,1.325,1.211,0.046,0.041,0.182,0.695,-14.526,0.087,0.572,0.01,0.415,1.974,4.994395833333333,1.11,1.181,-10.055,0.465,20.992,18.969,5.527229166666667,0.0,0.004,0.0,-0.042,3.2039791666666666,0.0,1203930260.0,18.25,17.323333333333334,17.803333333333335,0.05797101449275366,0.01614699331848546,-0.11062378167641329,0.07848389186507454,0.06510429431647018,18.070557590389278,18.53230223964302,32.18210361067504,-0.09335867005533965,924710670.0,825604401.6666666,0.5862206516205626,2994754649.0
2022-04-30,AAL,0.4410833333333333,-18.185,-2.203,-2.203,-6.074,0.408,17.317,5.532138888888889,-0.067,-0.185,0.064,-0.085,0.011,-0.049,-0.009166666666666668,-0.151,0.2663333333333333,0.281,-0.006,0.281,0.029,-0.211,1.211,1.325,1.211,0.046,0.041,0.182,0.695,-14.526,0.087,0.572,0.01,0.415,1.974,4.994395833333333,1.11,1.181,-10.055,0.465,20.992,18.969,5.527229166666667,0.0,0.004,0.0,-0.042,3.2039791666666666,0.0,767147110.0,18.77,18.09,17.731666666666666,0.028493150684931523,0.1396478445658773,-0.02239583333333328,0.014930264791449316,0.06275358447348019,18.270398278849484,18.568871125851786,46.14003590664274,-0.08303819887098407,910023433.3333334,858202085.0,-0.36279771720332044,3761901759.0
2022-05-31,AAL,0.4410833333333333,-39.742,-2.728,-2.728,-4.856,0.334,6.768,5.532138888888889,-0.068,-0.11,0.125,-0.088,-0.001,-0.022,-0.009166666666666668,-0.097,0.2663333333333333,0.313,-0.014,0.313,0.063,-0.225,1.225,1.342,1.225,0.044,0.04,0.2,0.681,-31.29,0.087,0.558,0.01,-0.415,2.031,4.994395833333333,1.114,1.191,-9.755,0.506,24.736,14.784,5.527229166666667,0.0,0.004,0.0,-0.06,3.2039791666666666,0.0,672919640.0,17.87,18.296666666666667,17.761666666666667,-0.047948854555141085,0.035942028985507246,0.010175240248728068,0.054667698078052974,0.056169505880633894,18.155998770606775,18.46135249110536,51.81451612903226,-0.08387932538842087,881332336.6666666,851781696.6666666,-0.12282842335155253,3088982119.0
2022-06-30,AAL,0.4410833333333333,-39.742,-1.936,-1.936,-3.446,0.237,4.804,5.532138888888889,-0.068,-0.11,0.125,-0.088,-0.001,-0.022,-0.009166666666666668,-0.097,0.2663333333333333,0.313,-0.014,0.313,0.063,-0.225,1.225,1.342,1.225,0.044,0.04,0.2,0.681,-31.29,0.087,0.558,0.01,-0.415,2.031,4.994395833333333,1.114,1.191,-9.755,0.506,24.736,14.784,5.527229166666667,0.0,0.004,0.0,-0.06,3.2039791666666666,0.0,797411830.0,12.68,16.44,16.881666666666664,-0.29043088975937326,-0.3052054794520548,-0.29398663697104677,0.16650999025845784,0.1312778859736979,16.591427693290555,17.57191364631992,23.279352226720647,-0.14582671002533346,745826193.3333334,835268431.6666666,0.1850030562341738,2291570289.0
2022-07-31,AAL,0.4410833333333333,-39.742,-2.093,-2.093,-3.726,0.256,5.195,5.532138888888889,-0.068,-0.11,0.125,-0.088,-0.001,-0.022,-0.009166666666666668,-0.097,0.2663333333333333,0.313,-0.014,0.313,0.063,-0.225,1.225,1.342,1.225,0.044,0.04,0.2,0.681,-31.29,0.087,0.558,0.01,-0.415,2.031,4.994395833333333,1.114,1.191,-9.755,0.506,24.736,14.784,5.527229166666667,0.0,0.004,0.0,-0.06,3.2039791666666666,0.0,738580450.0,13.71,14.753333333333336,16.421666666666667,0.08123028391167209,-0.2695791156100159,-0.16757741347905275,0.18868704920509405,0.13937575691572338,15.768162638064684,16.977773085347625,35.35031847133759,-0.14735131137488955,736303973.3333334,823163703.3333334,-0.07377791222385055,3030150739.0
2022-08-31,AAL,0.4410833333333333,102.96,-3.176,-3.176,-4.374,0.207,-375.18,5.532138888888889,-0.047,-0.045,0.173,-0.061,0.011,0.008,-0.009166666666666668,-0.047,0.2663333333333333,0.245,-0.001,0.245,0.104,-0.236,1.236,1.35,1.236,0.045,0.041,0.185,0.679,82.684,0.084,0.556,0.01,0.415,2.015,4.994395833333333,1.119,1.2,-9.409,0.603,26.231,15.37,5.527229166666667,0.0,0.004,0.0,-0.028,3.2039791666666666,0.0,576404660.0,12.99,13.126666666666667,15.711666666666666,-0.052516411378555894,-0.2730833799664242,-0.2469565217391304,0.18824784440501677,0.13555431240170515,14.974401884331918,16.36426953375568,27.24358974358975,-0.16848775894856619,704132313.3333334,792732325.0,-0.21957769123187598,2453746079.0
