tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
AAL,2020-01-31,001045,2030,203020,20,226210976.0000,26.8400
AAL,2020-02-29,001045,2030,203020,20,262642597.0000,19.0500
AAL,2020-03-31,001045,2030,203020,20,1300004210.0000,12.1900
AAL,2020-04-30,001045,2030,203020,20,1727179730.0000,12.0100
AAL,2020-05-31,001045,2030,203020,20,1367659950.0000,10.5000
AAL,2020-06-30,001045,2030,203020,20,3081408000.0000,13.0700
AAL,2020-07-31,001045,2030,203020,20,1619812460.0000,11.1200
AAL,2020-08-31,001045,2030,203020,20,1483287990.0000,13.0500
AAL,2020-09-30,001045,2030,203020,20,1191243570.0000,12.2900
PNW,2020-01-31,001075,5510,551010,55,19725504.0000,97.6900
PNW,2020-02-29,001075,5510,551010,55,20162670.0000,89.4900
PNW,2020-03-31,001075,5510,551010,55,32036064.0000,75.7900
PNW,2020-04-30,001075,5510,551010,55,21684576.0000,76.9900
PNW,2020-05-31,001075,5510,551010,55,28434660.0000,77.9000
PNW,2020-06-30,001075,5510,551010,55,26988338.0000,73.2900
PNW,2020-07-31,001075,5510,551010,55,19292754.0000,83.0800
PNW,2020-08-31,001075,5510,551010,55,19528991.0000,73.3500
PNW,2020-09-30,001075,5510,551010,55,18420702.0000,74.5500
PNW,2020-10-31,001075,5510,551010,55,21078494.0000,81.5700
PNW,2020-11-30,001075,5510,551010,55,18474949.0000,81.8500
PNW,2020-12-31,001075,5510,551010,55,17676690.0000,79.9500
PNW,2021-01-31,001075,5510,551010,55,17501837.0000,75.2500
PNW,2021-02-28,001075,5510,551010,55,15984769.0000,69.9300
PNW,2021-03-31,001075,5510,551010,55,20692531.0000,81.3500
PNW,2021-04-30,001075,5510,551010,55,13901030.0000,84.6500
PNW,2021-05-31,001075,5510,551010,55,22788752.0000,84.5800
PNW,2021-06-30,001075,5510,551010,55,18792971.0000,81.9700
ABT,2020-01-31,001078,3510,351010,35,119031805.0000,87.1400
ABT,2020-02-29,001078,3510,351010,35,101828649.0000,77.0300
ABT,2020-03-31,001078,3510,351010,35,310367493.0000,78.9100
ABT,2020-04-30,001078,3510,351010,35,234676344.0000,92.0900
ABT,2020-05-31,001078,3510,351010,35,143546304.0000,94.9200
ABT,2020-06-30,001078,3510,351010,35,141709975.0000,91.4300
ABT,2020-07-31,001078,3510,351010,35,104470692.0000,100.6400
ABT,2020-08-31,001078,3510,351010,35,120631730.0000,109.4700
ABT,2020-09-30,001078,3510,351010,35,111306819.0000,108.8300
ABT,2020-10-31,001078,3510,351010,35,102757501.0000,105.1100
ABT,2020-11-30,001078,3510,351010,35,103356686.0000,108.2200
ABT,2020-12-31,001078,3510,351010,35,97926734.0000,109.4900
ABT,2021-01-31,001078,3510,351010,35,108905519.0000,123.5900
ABT,2021-02-28,001078,3510,351010,35,92325624.0000,119.7800
ABT,2021-03-31,001078,3510,351010,35,119555111.0000,119.8400
ABT,2021-04-30,001078,3510,351010,35,106510967.0000,120.0800
