tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
AAL,2016-01-31,001045,2030,203020,20,236885447.0000,38.9900
AAL,2016-02-29,001045,2030,203020,20,183960727.0000,41.0000
AAL,2016-03-31,001045,2030,203020,20,163953899.0000,41.0100
AAL,2016-04-30,001045,2030,203020,20,206421401.0000,34.6900
AAL,2016-05-31,001045,2030,203020,20,204311824.0000,31.9100
AAL,2016-06-30,001045,2030,203020,20,274096043.0000,28.3100
AAL,2016-07-31,001045,2030,203020,20,248068001.0000,35.5000
AAL,2016-08-31,001045,2030,203020,20,181375205.0000,36.3000
AAL,2016-09-30,001045,2030,203020,20,162069662.0000,36.6100
AAL,2016-10-31,001045,2030,203020,20,176327327.0000,40.6000
AAL,2016-11-30,001045,2030,203020,20,148290298.0000,46.4400
AAL,2016-12-31,001045,2030,203020,20,122706332.0000,46.6900
AAL,2017-01-31,001045,2030,203020,20,147200072.0000,44.2500
AAL,2017-02-28,001045,2030,203020,20,110320689.0000,46.3600
AAL,2017-03-31,001045,2030,203020,20,177795855.0000,42.3000
AAL,2017-04-30,001045,2030,203020,20,136246906.0000,42.6200
AAL,2017-05-31,001045,2030,203020,20,130756927.0000,48.4100
AAL,2017-06-30,001045,2030,203020,20,133194522.0000,50.3200
AAL,2017-07-31,001045,2030,203020,20,111391938.0000,50.4400
AAL,2017-08-31,001045,2030,203020,20,122848202.0000,44.7400
AAL,2017-09-30,001045,2030,203020,20,131243476.0000,47.4900
AAL,2017-10-31,001045,2030,203020,20,118392861.0000,46.8200
AAL,2017-11-30,001045,2030,203020,20,72793758.0000,50.4900
AAL,2017-12-31,001045,2030,203020,20,79309835.0000,52.0300
ABT,2016-08-31,001078,3510,351010,35,227336268.0000,42.0200
ABT,2016-09-30,001078,3510,351010,35,161468471.0000,42.2900
ABT,2016-10-31,001078,3510,351010,35,187703410.0000,39.2400
ABT,2016-11-30,001078,3510,351010,35,180419621.0000,38.0700
ABT,2016-12-31,001078,3510,351010,35,178261008.0000,38.4100
ABT,2017-01-31,001078,3510,351010,35,211230835.0000,41.7700
ABT,2017-02-28,001078,3510,351010,35,165448294.0000,45.0800
ABT,2017-03-31,001078,3510,351010,35,147273351.0000,44.4100
ABT,2017-04-30,001078,3510,351010,35,135408756.0000,43.6400
ABT,2017-05-31,001078,3510,351010,35,132858327.0000,45.6600
ABT,2017-06-30,001078,3510,351010,35,160389022.0000,48.6100
ABT,2017-07-31,001078,3510,351010,35,114204788.0000,49.1800
ABT,2017-08-31,001078,3510,351010,35,101430914.0000,50.9400
ABT,2017-09-30,001078,3510,351010,35,124814809.0000,53.3600
ABT,2017-10-31,001078,3510,351010,35,124880418.0000,54.2300
ABT,2017-11-30,001078,3510,351010,35,110235408.0000,56.3700
ABT,2017-12-31,001078,3510,351010,35,128075158.0000,57.0700
AET,2016-01-31,001177,3510,351020,35,83485654.0000,101.8400
AET,2016-02-29,001177,3510,351020,35,56152030.0000,108.6300
AET,2016-03-31,001177,3510,351020,35,51168327.0000,112.3500
AET,2016-04-30,001177,3510,351020,35,47194699.0000,112.2700
AET,2016-05-31,001177,3510,351020,35,45201613.0000,113.2300
AET,2016-06-30,001177,3510,351020,35,57163281.0000,122.1300
AET,2016-07-31,001177,3510,351020,35,84591928.0000,115.2100
AET,2016-08-31,001177,3510,351020,35,40671059.0000,117.1200
AET,2016-09-30,001177,3510,351020,35,33891216.0000,115.4500
AET,2016-10-31,001177,3510,351020,35,53338208.0000,107.3500
AET,2016-11-30,001177,3510,351020,35,70440040.0000,130.8400
AET,2016-12-31,001177,3510,351020,35,55708646.0000,124.0100
AET,2017-01-31,001177,3510,351020,35,74144838.0000,118.6100
AET,2017-02-28,001177,3510,351020,35,61146596.0000,128.7600
AET,2017-03-31,001177,3510,351020,35,58285241.0000,127.5500
AET,2017-04-30,001177,3510,351020,35,42915867.0000,135.0700
AET,2017-05-31,001177,3510,351020,35,59668015.0000,144.8600
AET,2017-06-30,001177,3510,351020,35,40817799.0000,151.8300
AET,2017-07-31,001177,3510,351020,35,35631443.0000,154.3100
AET,2017-08-31,001177,3510,351020,35,42441027.0000,157.7000
AET,2017-09-30,001177,3510,351020,35,38270254.0000,159.0100
AET,2017-10-31,001177,3510,351020,35,55170541.0000,170.0300
AET,2017-11-30,001177,3510,351020,35,54930549.0000,180.1800
AET,2017-12-31,001177,3510,351020,35,85440331.0000,180.3900
HON,2016-01-31,001300,2010,201050,20,71864126.0000,103.2000
HON,2016-02-29,001300,2010,201050,20,110173576.0000,101.3500
HON,2016-03-31,001300,2010,201050,20,74129919.0000,112.0500
HON,2016-04-30,001300,2010,201050,20,57635562.0000,114.2700
HON,2016-05-31,001300,2010,201050,20,53931960.0000,113.8300
HON,2016-06-30,001300,2010,201050,20,59502910.0000,116.3200
HON,2016-07-31,001300,2010,201050,20,60960255.0000,116.3300
HON,2016-08-31,001300,2010,201050,20,43470225.0000,116.7100
HON,2016-09-30,001300,2010,201050,20,66200794.0000,116.5900
HON,2016-10-31,001300,2010,201050,20,99788171.0000,109.6800
HON,2016-11-30,001300,2010,201050,20,69790137.0000,113.9400
HON,2016-12-31,001300,2010,201050,20,75576206.0000,115.8500
HON,2017-01-31,001300,2010,201050,20,66476054.0000,118.3200
HON,2017-02-28,001300,2010,201050,20,56488389.0000,124.5000
HON,2017-03-31,001300,2010,201050,20,58868300.0000,124.8700
HON,2017-04-30,001300,2010,201050,20,61500464.0000,131.1400
HON,2017-05-31,001300,2010,201050,20,59550079.0000,132.9900
HON,2017-06-30,001300,2010,201050,20,54046999.0000,133.2900
HON,2017-07-31,001300,2010,201050,20,46402992.0000,136.1200
HON,2017-08-31,001300,2010,201050,20,55060714.0000,138.2700
HON,2017-09-30,001300,2010,201050,20,56690238.0000,141.7400
HES,2016-12-31,001380,1010,101020,10,83052756.0000,62.2900
HES,2017-01-31,001380,1010,101020,10,98041197.0000,54.1800
HES,2017-02-28,001380,1010,101020,10,69773376.0000,51.4400
HES,2017-03-31,001380,1010,101020,10,87614965.0000,48.2100
HES,2017-04-30,001380,1010,101020,10,87164699.0000,48.8300
HES,2017-05-31,001380,1010,101020,10,82125577.0000,45.8900
HES,2017-06-30,001380,1010,101020,10,110261529.0000,43.8700
HES,2017-07-31,001380,1010,101020,10,79466473.0000,44.5400
HES,2017-08-31,001380,1010,101020,10,82596397.0000,38.9000
HES,2017-09-30,001380,1010,101020,10,82279437.0000,46.8900
HES,2017-10-31,001380,1010,101020,10,95095340.0000,44.1600
HES,2017-11-30,001380,1010,101020,10,83603258.0000,45.8800
HES,2017-12-31,001380,1010,101020,10,82076221.0000,47.4700
AFL,2016-01-31,001449,4030,403010,40,49213191.0000,57.9600
AFL,2016-02-29,001449,4030,403010,40,52320122.0000,59.5200
AFL,2016-03-31,001449,4030,403010,40,48717548.0000,63.1400
AFL,2016-04-30,001449,4030,403010,40,50518349.0000,68.9700
AFL,2016-05-31,001449,4030,403010,40,46827166.0000,69.4600
AFL,2016-06-30,001449,4030,403010,40,45905749.0000,72.1600
AFL,2016-07-31,001449,4030,403010,40,36264680.0000,72.2800
AFL,2016-08-31,001449,4030,403010,40,37992934.0000,74.1800
AFL,2016-09-30,001449,4030,403010,40,34133764.0000,71.8700
AFL,2016-10-31,001449,4030,403010,40,34963748.0000,68.8700
AFL,2016-11-30,001449,4030,403010,40,38701041.0000,71.3800
AFL,2016-12-31,001449,4030,403010,40,51110867.0000,69.6000
AFL,2017-01-31,001449,4030,403010,40,48743554.0000,69.9900
AFL,2017-02-28,001449,4030,403010,40,43270572.0000,72.3500
AFL,2017-03-31,001449,4030,403010,40,43350643.0000,72.4200
AFL,2017-04-30,001449,4030,403010,40,42389636.0000,74.8800
AFL,2017-05-31,001449,4030,403010,40,34794846.0000,75.3800
AFL,2017-06-30,001449,4030,403010,40,38127162.0000,77.6800
AFL,2017-07-31,001449,4030,403010,40,28080934.0000,79.7500
AFL,2017-08-31,001449,4030,403010,40,35657284.0000,82.5500
AFL,2017-09-30,001449,4030,403010,40,33067885.0000,81.3900
AFL,2017-10-31,001449,4030,403010,40,31190064.0000,83.8900
AFL,2017-11-30,001449,4030,403010,40,31904308.0000,87.6400
AFL,2017-12-31,001449,4030,403010,40,32041922.0000,87.7800
AME,2016-01-31,001598,2010,201040,20,33785024.0000,47.0500
AME,2016-02-29,001598,2010,201040,20,40762320.0000,46.4100
AME,2016-03-31,001598,2010,201040,20,28923252.0000,49.9800
AME,2016-04-30,001598,2010,201040,20,32652558.0000,48.0900
AME,2016-05-31,001598,2010,201040,20,31777141.0000,47.8200
AME,2016-06-30,001598,2010,201040,20,33103546.0000,46.2300
AME,2016-07-31,001598,2010,201040,20,26960774.0000,47.0300
AME,2016-08-31,001598,2010,201040,20,40551774.0000,48.7500
AME,2016-09-30,001598,2010,201040,20,30030464.0000,47.7800
AME,2016-10-31,001598,2010,201040,20,35407739.0000,44.1000
AME,2016-11-30,001598,2010,201040,20,69993762.0000,47.3500
AME,2016-12-31,001598,2010,201040,20,43812055.0000,48.6000
AME,2017-01-31,001598,2010,201040,20,31383699.0000,51.1000
AME,2017-02-28,001598,2010,201040,20,42878056.0000,53.9700
AME,2017-03-31,001598,2010,201040,20,33356478.0000,54.0800
AME,2017-04-30,001598,2010,201040,20,28752197.0000,57.2000
AME,2017-05-31,001598,2010,201040,20,36133562.0000,61.0200
AME,2017-06-30,001598,2010,201040,20,26568179.0000,60.5700
AME,2017-07-31,001598,2010,201040,20,17044460.0000,61.5800
AME,2017-08-31,001598,2010,201040,20,20156983.0000,63.2500
AME,2017-09-30,001598,2010,201040,20,19669540.0000,66.0400
AME,2017-10-31,001598,2010,201040,20,20538722.0000,67.4900
AME,2017-11-30,001598,2010,201040,20,34574110.0000,72.6900
AME,2017-12-31,001598,2010,201040,20,20617511.0000,72.4700
AMAT,2016-01-31,001704,4530,453010,45,362416076.0000,17.6500
ADM,2016-01-31,001722,3020,302020,30,109357416.0000,35.3500
ADM,2016-02-29,001722,3020,302020,30,105254793.0000,34.9600
ADM,2016-03-31,001722,3020,302020,30,79397396.0000,36.3100
ADM,2016-04-30,001722,3020,302020,30,71910621.0000,39.9400
ADM,2016-05-31,001722,3020,302020,30,84037890.0000,42.7700
ADM,2016-06-30,001722,3020,302020,30,83389537.0000,42.8900
ADM,2016-07-31,001722,3020,302020,30,60205525.0000,45.0800
ADM,2016-08-31,001722,3020,302020,30,56451160.0000,43.7600
ADM,2016-09-30,001722,3020,302020,30,50857598.0000,42.1700
ADM,2016-10-31,001722,3020,302020,30,47659643.0000,43.5700
ADM,2016-11-30,001722,3020,302020,30,86725163.0000,43.2300
ADM,2016-12-31,001722,3020,302020,30,65932454.0000,45.6500
ADM,2017-01-31,001722,3020,302020,30,66601022.0000,44.2600
ADM,2017-02-28,001722,3020,302020,30,73115128.0000,46.9700
ADM,2017-03-31,001722,3020,302020,30,62129348.0000,46.0400
ADM,2017-04-30,001722,3020,302020,30,44588970.0000,45.7500
ADM,2017-05-31,001722,3020,302020,30,74516536.0000,41.5800
ADM,2017-06-30,001722,3020,302020,30,62886765.0000,41.3800
ADM,2017-07-31,001722,3020,302020,30,59858025.0000,42.1800
ADM,2017-08-31,001722,3020,302020,30,70519078.0000,41.3200
ADM,2017-09-30,001722,3020,302020,30,56920993.0000,42.5100
ADM,2017-10-31,001722,3020,302020,30,57417726.0000,40.8700
ADM,2017-11-30,001722,3020,302020,30,67934107.0000,39.8800
ADM,2017-12-31,001722,3020,302020,30,64610212.0000,40.0800
ADP,2016-01-31,001891,2020,202020,20,45026654.0000,83.0900
ADP,2016-02-29,001891,2020,202020,20,42038670.0000,84.6900
ADP,2016-03-31,001891,2020,202020,20,34436384.0000,89.7100
ADP,2016-04-30,001891,2020,202020,20,35988916.0000,88.4400
ADP,2016-05-31,001891,2020,202020,20,45419973.0000,87.8400
ADP,2016-06-30,001891,2020,202020,20,45860717.0000,91.8700
ADP,2016-07-31,001891,2020,202020,20,37318621.0000,88.9500
ADP,2016-08-31,001891,2020,202020,20,33547126.0000,89.8100
ADP,2016-09-30,001891,2020,202020,20,35884066.0000,88.2000
ADP,2016-10-31,001891,2020,202020,20,29998611.0000,87.0600
ADP,2016-11-30,001891,2020,202020,20,49801573.0000,96.0200
ADP,2016-12-31,001891,2020,202020,20,43394654.0000,102.7800
ADP,2017-01-31,001891,2020,202020,20,36216607.0000,100.9900
ADP,2017-02-28,001891,2020,202020,20,41958386.0000,102.6200
ADP,2017-03-31,001891,2020,202020,20,37066040.0000,102.3900
ADP,2017-04-30,001891,2020,202020,20,26467444.0000,104.4900
ABT,2016-01-31,001078,3510,351010,35,178211840.0000,37.8500
ABT,2016-02-29,001078,3510,351010,35,148832626.0000,38.7400
ABT,2016-03-31,001078,3510,351010,35,146234435.0000,41.8300
ABT,2016-04-30,001078,3510,351010,35,180287333.0000,38.9000
ABT,2016-05-31,001078,3510,351010,35,251964756.0000,39.6300
ABT,2016-06-30,001078,3510,351010,35,224829945.0000,39.3100
ABT,2016-07-31,001078,3510,351010,35,218057256.0000,44.7500
AMD,2016-01-31,001161,4530,453010,45,355087562.0000,2.2000
AMD,2016-02-29,001161,4530,453010,45,192679923.0000,2.1400
AMD,2016-03-31,001161,4530,453010,45,333068969.0000,2.8500
