permno,adate,qdate,public_date,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,inv_turn,at_turn,rect_turn,pay_turn,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
10104,2022-05-31,2022-08-31,2022-11-30,,15.355,22.81,23.258,39.538,5.07,21.235,0.591,0.132,0.343,0.825,0.154,0.222,0.169,,0.207,0.119,-0.875,0.118,-0.875,0.626,0.32,-0.116,1.109,1.228,1.116,0.038,0.035,0.164,0.011,0.188,0.721,4.324,0.097,0.194,0.612,0.806,0.448,0.083,0.51,11.493,,1.064,1.102,-15.675,3.047,5.333,24.669,0.388,8.128,6.864,,8.275,0.173,0.006,0.0,-0.041,,,1.54%,ORCL
10104,2022-05-31,2022-08-31,2022-12-31,,15.355,22.456,22.896,38.924,4.991,20.906,0.591,0.132,0.343,0.825,0.154,0.222,0.169,,0.207,0.119,-0.875,0.118,-0.875,0.626,0.32,-0.116,1.109,1.228,1.116,0.038,0.035,0.164,0.011,0.188,0.721,4.324,0.097,0.194,0.612,0.806,0.448,0.083,0.51,11.493,,1.064,1.102,-15.675,3.047,5.333,24.669,0.388,8.128,6.864,,8.275,0.173,0.006,0.0,-0.041,,,1.57%,ORCL
10107,2021-06-30,2021-09-30,2022-01-31,0.072,22.923,37.513,37.878,34.785,13.228,28.45,0.249,0.385,0.421,0.758,0.428,0.455,0.277,0.512,0.346,0.138,0.512,0.341,0.512,0.451,0.417,0.659,0.341,0.383,0.341,0.031,0.028,0.716,0.015,0.17,0.254,0.94,0.11,0.427,0.4,1.121,1.061,0.4,0.737,2.642,0.518,0.564,0.406,1.295,30.773,32.578,16.689,0.55,5.923,3.085,1.262,1.81,0.121,0.009,0.0,-0.044,15.319,0.575,.797%,MSFT
10107,2021-06-30,2021-12-31,2022-02-28,0.064,23.947,33.838,34.147,31.82,12.114,26.695,0.243,0.385,0.425,0.759,0.431,0.455,0.286,0.509,0.356,0.138,0.51,0.346,0.51,0.474,0.425,0.672,0.328,0.369,0.328,0.031,0.028,0.701,0.016,0.179,0.245,0.881,0.111,0.437,0.393,1.149,1.053,0.4,0.723,2.506,0.487,0.554,0.393,1.24,32.879,35.212,15.791,0.561,5.906,3.116,1.257,1.948,0.12,0.009,0.0,-0.039,13.982,1.06,.830%,MSFT
10107,2021-06-30,2021-12-31,2022-03-31,0.064,23.947,34.916,35.235,32.834,12.477,27.495,0.243,0.385,0.425,0.759,0.431,0.455,0.286,0.509,0.356,0.138,0.51,0.346,0.51,0.474,0.425,0.672,0.328,0.369,0.328,0.031,0.028,0.701,0.016,0.179,0.245,0.881,0.111,0.437,0.393,1.149,1.053,0.4,0.723,2.506,0.487,0.554,0.393,1.24,32.879,35.212,15.791,0.561,5.906,3.116,1.257,1.948,0.12,0.009,0.0,-0.039,14.4,1.094,.804%,MSFT
10107,2021-06-30,2021-12-31,2022-04-30,0.064,23.947,31.429,31.717,29.555,11.225,24.736,0.243,0.385,0.425,0.759,0.431,0.455,0.286,0.509,0.356,0.138,0.51,0.346,0.51,0.474,0.425,0.672,0.328,0.369,0.328,0.031,0.028,0.701,0.016,0.179,0.245,0.881,0.111,0.437,0.393,1.149,1.053,0.4,0.723,2.506,0.487,0.554,0.393,1.24,32.879,35.212,15.791,0.561,5.906,3.116,1.257,1.948,0.12,0.009,0.0,-0.039,12.955,0.985,.894%,MSFT
10107,2021-06-30,2022-03-31,2022-05-31,0.071,24.285,29.68,29.843,28.379,10.56,23.34,0.245,0.376,0.426,0.759,0.429,0.448,0.291,0.492,0.36,0.138,0.492,0.34,0.492,0.489,0.432,0.681,0.319,0.353,0.319,0.029,0.026,0.666,0.018,0.191,0.236,0.834,0.094,0.44,0.393,1.182,1.075,0.4,0.731,2.387,0.469,0.544,0.382,1.195,35.437,38.947,15.01,0.569,5.856,3.091,1.249,2.124,0.121,0.009,0.0,-0.044,12.457,0.988,.912%,MSFT
10107,2021-06-30,2022-03-31,2022-06-30,0.071,24.285,28.038,28.192,26.809,9.955,22.005,0.245,0.376,0.426,0.759,0.429,0.448,0.291,0.492,0.36,0.138,0.492,0.34,0.492,0.489,0.432,0.681,0.319,0.353,0.319,0.029,0.026,0.666,0.018,0.191,0.236,0.834,0.094,0.44,0.393,1.182,1.075,0.4,0.731,2.387,0.469,0.544,0.382,1.195,35.437,38.947,15.01,0.569,5.856,3.091,1.249,2.124,0.121,0.009,0.0,-0.044,11.744,0.933,.966%,MSFT
10107,2021-06-30,2022-03-31,2022-07-31,0.071,24.285,30.648,30.817,29.305,10.873,24.034,0.245,0.376,0.426,0.759,0.429,0.448,0.291,0.492,0.36,0.138,0.492,0.34,0.492,0.489,0.432,0.681,0.319,0.353,0.319,0.029,0.026,0.666,0.018,0.191,0.236,0.834,0.094,0.44,0.393,1.182,1.075,0.4,0.731,2.387,0.469,0.544,0.382,1.195,35.437,38.947,15.01,0.569,5.856,3.091,1.249,2.124,0.121,0.009,0.0,-0.044,12.827,1.02,.883%,MSFT
10107,2022-06-30,2022-06-30,2022-08-31,0.087,20.338,28.176,28.359,27.095,9.835,21.902,0.255,0.367,0.421,0.758,0.422,0.44,0.281,0.471,0.356,0.131,0.472,0.35,0.472,0.508,0.412,0.697,0.303,0.328,0.303,0.028,0.025,0.528,0.022,0.297,0.215,0.799,0.077,0.479,0.365,1.032,0.936,0.449,0.732,2.265,0.434,0.544,0.369,1.191,36.534,40.796,15.067,0.568,4.486,2.878,1.191,2.658,0.124,0.008,0.0,-0.047,11.693,1.106,.948%,MSFT
10107,2022-06-30,2022-06-30,2022-09-30,0.087,20.338,25.097,25.26,24.135,8.759,19.506,0.255,0.367,0.421,0.758,0.422,0.44,0.281,0.471,0.356,0.131,0.472,0.35,0.472,0.508,0.412,0.697,0.303,0.328,0.303,0.028,0.025,0.528,0.022,0.297,0.215,0.799,0.077,0.479,0.365,1.032,0.936,0.449,0.732,2.265,0.434,0.544,0.369,1.191,36.534,40.796,15.067,0.568,4.486,2.878,1.191,2.658,0.124,0.008,0.0,-0.047,10.414,0.986,1.06%,MSFT
10107,2022-06-30,2022-06-30,2022-10-31,0.087,20.338,25.014,25.177,24.055,8.728,19.435,0.255,0.367,0.421,0.758,0.422,0.44,0.281,0.471,0.356,0.131,0.472,0.35,0.472,0.508,0.412,0.697,0.303,0.328,0.303,0.028,0.025,0.528,0.022,0.297,0.215,0.799,0.077,0.479,0.365,1.032,0.936,0.449,0.732,2.265,0.434,0.544,0.369,1.191,36.534,40.796,15.067,0.568,4.486,2.878,1.191,2.658,0.124,0.008,0.0,-0.047,10.376,0.982,1.07%,MSFT
10107,2022-06-30,2022-09-30,2022-11-30,0.1,22.254,27.346,27.464,27.494,9.366,21.689,0.266,0.344,0.418,0.752,0.417,0.413,0.285,0.435,0.354,0.131,0.435,0.308,0.435,0.508,0.433,0.697,0.303,0.33,0.303,0.028,0.026,0.592,0.022,0.224,0.223,0.794,0.081,0.452,0.386,1.172,1.04,0.449,0.722,2.191,0.434,0.53,0.365,1.126,35.686,42.142,14.078,0.576,5.497,3.061,1.225,2.529,0.126,0.008,0.0,-0.051,10.944,1.273,1.07%,MSFT
10107,2022-06-30,2022-09-30,2022-12-31,0.1,22.254,25.704,25.815,25.843,8.794,20.366,0.266,0.344,0.418,0.752,0.417,0.413,0.285,0.435,0.354,0.131,0.435,0.308,0.435,0.508,0.433,0.697,0.303,0.33,0.303,0.028,0.026,0.592,0.022,0.224,0.223,0.794,0.081,0.452,0.386,1.172,1.04,0.449,0.722,2.191,0.434,0.53,0.365,1.126,35.686,42.142,14.078,0.576,5.497,3.061,1.225,2.529,0.126,0.008,0.0,-0.051,10.276,1.196,1.13%,MSFT
10138,2020-12-31,2021-09-30,2022-01-31,0.186,11.008,11.525,11.638,11.638,4.755,11.444,0.547,0.42,0.484,0.513,0.568,0.469,0.356,0.407,0.363,0.222,0.407,0.42,0.407,,0.346,0.862,0.016,0.016,0.018,0.0,0.0,1.583,,,0.014,0.052,0.0,,0.075,,,1.38,0.923,2.367,0.018,0.175,0.046,0.243,,,1.366,0.674,8.193,18.668,0.934,,0.0,0.013,0.352,0.003,4.284,0.49,2.80%,TROW
10138,2021-12-31,2021-12-31,2022-02-28,0.2,11.759,10.82,10.927,11.018,4.298,9.552,0.334,0.402,0.488,0.514,0.521,0.431,0.341,0.368,0.434,0.224,0.369,0.394,0.369,,0.316,0.85,0.034,0.034,0.039,0.0,0.0,0.72,,,0.029,0.092,0.0,,0.161,,,1.531,0.931,2.406,0.04,0.18,0.07,0.25,,,1.753,0.662,7.835,11.089,0.85,,0.0,0.013,0.311,-0.032,3.652,0.502,2.99%,TROW
10138,2021-12-31,2021-12-31,2022-03-31,0.2,11.759,11.317,11.428,11.524,4.489,9.978,0.334,0.402,0.488,0.514,0.521,0.431,0.341,0.368,0.434,0.224,0.369,0.394,0.369,,0.316,0.85,0.034,0.034,0.039,0.0,0.0,0.72,,,0.029,0.092,0.0,,0.161,,,1.531,0.931,2.406,0.04,0.18,0.07,0.25,,,1.753,0.662,7.835,11.089,0.85,,0.0,0.013,0.311,-0.032,3.814,0.525,3.17%,TROW
10138,2021-12-31,2021-12-31,2022-04-30,0.2,11.759,9.21,9.3,9.378,3.645,8.102,0.334,0.402,0.488,0.514,0.521,0.431,0.341,0.368,0.434,0.224,0.369,0.394,0.369,,0.316,0.85,0.034,0.034,0.039,0.0,0.0,0.72,,,0.029,0.092,0.0,,0.161,,,1.531,0.931,2.406,0.04,0.18,0.07,0.25,,,1.753,0.662,7.835,11.089,0.85,,0.0,0.013,0.311,-0.032,3.097,0.427,3.90%,TROW
