date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,SMA_3,SMA_6,vol_3m,vol_6m,EMA_3,EMA_6,RVOL_3,RVOL_6,vol_ROC,vol_mom
2021-01-31,A,126554.0,56.695,0.157,25.24,43.698,44.18,52.248,52.248,6.907,40.037,0.309,0.135,0.251,0.194,0.575,0.158,0.192,0.14,0.149,0.142,0.146,0.149,0.121,0.149,0.244,0.319,0.669,0.331,0.348,0.331,0.037,0.032,0.303,0.264,1.895,0.05,0.507,0.194,0.871,4.661,0.492,0.494,0.372,0.976,0.982,1.837,2.328,122.801,0.56,5.426,6.531,0.733,1.096,0.093,0.009,0.0,-0.021,7.53,0.646,00846U10,33129154.0,120.17,0.014178411680310532,0.17709863845626406,0.24748261185508147,0.05761595251943182,0.03864620535452808,0.07573631114782381,0.05371947363631876,0.031168463629124343,0.03682117421270295,0.9051776719980769,1.0667683465938687,-0.06597513417399781,0.012833981677413828
2021-02-28,A,126554.0,57.244,0.157,25.24,44.389,44.879,53.074,53.074,6.973,40.425,0.309,0.135,0.251,0.194,0.575,0.158,0.192,0.14,0.149,0.142,0.146,0.149,0.121,0.149,0.244,0.319,0.669,0.331,0.348,0.331,0.037,0.032,0.303,0.264,1.895,0.05,0.507,0.194,0.871,4.661,0.492,0.494,0.372,0.976,0.982,1.837,2.328,122.801,0.56,5.426,6.531,0.733,1.096,0.093,0.009,0.0,-0.021,7.603,0.636,00846U10,33204056.0,122.07,0.01581093450944482,0.04422583404619318,0.21559450308703432,0.014530238293648079,0.034204991681554664,0.0011460286866791824,0.05443800350989426,0.02348969906928458,0.030818248583200626,0.9784849582994328,1.0357814190867787,0.0022609089263190274,0.015470761594149177
2021-03-31,A,126554.0,59.954,0.131,22.718,41.549,41.685,48.9,48.9,7.005,31.806,0.278,0.146,0.262,0.207,0.576,0.169,0.202,0.152,0.166,0.153,0.146,0.166,0.126,0.166,0.268,0.333,0.685,0.315,0.36,0.315,0.034,0.03,0.289,0.267,1.766,0.126,0.474,0.194,0.897,4.59,0.46,0.493,0.374,0.972,0.85,1.613,2.076,126.291,0.578,5.613,6.862,0.78,1.139,0.089,0.009,0.0,-0.043,8.064,0.61,00846U10,39531328.0,127.14,0.04153354632587858,0.07300194109207525,0.25956013473350503,0.023840964171877976,0.040264207511808814,0.015343952559688031,0.05255159866345121,0.03251162269758158,0.033879762223965756,1.1202427766699363,1.1595431191821666,0.1905572018069117,0.046527655261051654
2021-04-30,A,126554.0,63.019,0.131,22.718,43.673,43.816,51.4,51.4,7.363,33.432,0.278,0.146,0.262,0.207,0.576,0.169,0.202,0.152,0.166,0.153,0.146,0.166,0.126,0.166,0.268,0.333,0.685,0.315,0.36,0.315,0.034,0.03,0.289,0.267,1.766,0.126,0.474,0.194,0.897,4.59,0.46,0.493,0.374,0.972,0.85,1.613,2.076,126.291,0.578,5.613,6.862,0.78,1.139,0.089,0.009,0.0,-0.043,8.476,0.581,00846U10,33106842.0,133.64,0.0511247443762779,0.11209120412748597,0.30904104221765083,0.0361564084038671,0.04688618046164946,0.018260654451633416,0.05065500706748679,0.04181818353692974,0.03880689998176923,0.9383828151913585,0.9211652121741002,-0.1625163212326184,0.04797458155375023
2021-05-31,A,126554.0,65.136,0.131,22.718,45.141,45.289,53.127,53.127,7.611,34.555,0.278,0.146,0.262,0.207,0.576,0.169,0.202,0.152,0.166,0.153,0.146,0.166,0.126,0.166,0.268,0.333,0.685,0.315,0.36,0.315,0.034,0.03,0.289,0.267,1.766,0.126,0.474,0.194,0.897,4.59,0.46,0.493,0.374,0.972,0.85,1.613,2.076,126.291,0.578,5.613,6.862,0.78,1.139,0.089,0.009,0.0,-0.043,8.761,0.562,00846U10,28306385.0,138.13,0.03359772523196658,0.13156385680347338,0.1816082121471343,0.04208533864470768,0.02830778846917788,0.008776528704083532,0.016097248266234987,0.037707954384448156,0.03731856433896847,0.8412455233469502,0.8376859047788557,-0.1449989400982431,0.02826393594603276
2021-06-30,A,126554.0,67.038,0.119,24.084,44.791,45.064,49.435,49.435,7.71,32.572,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,9.325,0.525,00846U10,38559285.0,147.81,0.07007891117063636,0.16257668711656437,0.24744704194446787,0.051600460259626946,0.03772071221575246,0.018245244889400655,0.021412781776429402,0.05389343277754226,0.04667866343373073,1.1570966127169036,1.123975056968607,0.36221156463462223,0.0810880707384321
2021-07-31,A,126554.0,69.496,0.119,24.084,46.433,46.716,51.247,51.247,7.993,33.767,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,9.667,0.506,00846U10,38946060.0,153.23,0.03666869629930303,0.1465878479497158,0.27511026046434206,0.04678177756730199,0.041469092985584544,0.020234254160280084,0.018193959380181365,0.04528106453842264,0.04381867282389425,1.1042082007354006,1.1040491017328302,0.010030657985489189,0.04048987516396624
2021-08-31,A,126554.0,79.467,0.119,24.084,53.173,53.497,58.686,58.686,9.14,38.611,0.248,0.159,0.265,0.213,0.575,0.187,0.212,0.161,0.19,0.167,0.146,0.19,0.141,0.19,0.284,0.341,0.667,0.333,0.359,0.333,0.032,0.029,0.279,0.267,1.697,0.07,0.492,0.194,0.91,4.756,0.5,0.504,0.381,1.016,0.885,1.71,2.194,121.071,0.593,5.634,6.77,0.797,1.195,0.07,0.009,0.0,-0.046,11.054,0.442,00846U10,36973129.0,175.47,0.1451412908699341,0.2703250561065662,0.43745391988203486,0.08396296611329117,0.06302415237899943,0.05555313834032344,0.04232484092043731,0.09521117770417838,0.07276799226561992,0.9689104259024277,1.0297820758986729,-0.050658038322746846,0.140628909952816
2021-09-30,A,126554.0,68.64,0.107,25.028,44.753,45.009,49.075,49.075,7.764,33.559,0.234,0.161,0.269,0.218,0.575,0.195,0.212,0.169,0.203,0.179,0.146,0.203,0.146,0.203,0.301,0.352,0.659,0.341,0.367,0.341,0.031,0.029,0.269,0.269,1.635,0.072,0.484,0.194,0.892,4.923,0.517,0.516,0.39,1.068,0.841,1.652,2.116,116.449,0.611,5.684,6.738,0.833,1.264,0.07,0.009,0.0,-0.043,9.642,0.493,00846U10,29918047.0,157.53,-0.10223969909386221,0.06576009742236644,0.23902784332232185,0.026523429358458306,0.039061944809042626,0.12400215070652092,0.08045139016830112,-0.0035142606948419183,0.022765794734339314,0.8480393516701439,0.8722049550344915,-0.19081647106470212,-0.0867032881345095
2021-10-31,A,126554.0,68.623,0.107,25.028,44.741,44.997,49.062,49.062,7.762,33.551,0.234,0.161,0.269,0.218,0.575,0.195,0.212,0.169,0.203,0.179,0.146,0.203,0.146,0.203,0.301,0.352,0.659,0.341,0.367,0.341,0.031,0.029,0.269,0.269,1.635,0.072,0.484,0.194,0.892,4.923,0.517,0.516,0.39,1.068,0.841,1.652,2.116,116.449,0.611,5.684,6.738,0.833,1.264,0.07,0.009,0.0,-0.043,9.639,0.493,00846U10,28781641.0,157.49,-0.000253919888275167,0.027801344384259075,0.1784645315773723,0.014215890629265574,0.030498834098283783,0.12432365065094063,0.08163626129765046,-0.0018840902915585427,0.01618873341359232,0.9025021495917697,0.857087298114232,-0.037983963324878744,-0.00022916324499244018
