date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,SMA_3,SMA_6,vol_3m,vol_6m,EMA_3,EMA_6,RVOL_3,RVOL_6,vol_ROC,vol_mom
2014-06-30,A,126554.0,26.508,0.312,17.078,34.602,35.677,35.9,27.223,3.567,17.23,0.311,0.101,0.218,0.147,0.589,0.118,0.204,0.111,0.103,0.101,0.157,0.104,0.084,0.104,0.132,0.297,0.662,0.338,0.338,0.338,0.043,0.043,0.498,0.253,2.307,0.0,0.502,0.213,0.835,4.729,0.505,0.504,0.372,1.016,1.666,2.447,3.118,165.867,0.504,6.087,5.17,0.672,1.015,0.097,0.006,0.0,-0.054,3.403,0.919,00846U10,30278356.0,57.44,0.008781173164734701,0.027181688125894166,0.004371393600279827,0.009608556475393456,0.001148418624640879,0.04364758634514718,0.03198741704064962,0.012364260092821423,0.008273423395311341,0.7677723984021961,0.6191749275833934,-0.33897433373924146,0.006741942381473365
2014-07-31,A,126554.0,25.885,0.312,17.078,33.789,34.839,35.056,26.583,3.484,16.825,0.311,0.101,0.218,0.147,0.589,0.118,0.204,0.111,0.103,0.101,0.157,0.104,0.084,0.104,0.132,0.297,0.662,0.338,0.338,0.338,0.043,0.043,0.498,0.253,2.307,0.0,0.502,0.213,0.835,4.729,0.505,0.504,0.372,1.016,1.666,2.447,3.118,165.867,0.504,6.087,5.17,0.672,1.015,0.097,0.006,0.0,-0.054,3.323,0.941,00846U10,39495788.0,56.09,-0.023502785515320257,0.03793486306439675,-0.035425623387790095,0.012980780092365881,-0.005566404198758201,0.038754404816326,0.032275638955028135,-0.005569262711249417,-0.0008054934362976864,1.0251611409375894,0.8450888865849935,0.3044231331450096,-0.024094142414097165
2014-08-31,A,126554.0,26.378,0.312,17.078,34.434,35.503,35.725,27.09,3.55,17.146,0.311,0.101,0.218,0.147,0.589,0.118,0.204,0.111,0.103,0.101,0.157,0.104,0.084,0.104,0.132,0.297,0.662,0.338,0.338,0.338,0.043,0.043,0.498,0.253,2.307,0.0,0.502,0.213,0.835,4.729,0.505,0.504,0.372,1.016,1.666,2.447,3.118,165.867,0.504,6.087,5.17,0.672,1.015,0.097,0.006,0.0,-0.054,3.386,0.924,00846U10,38819128.0,57.16,0.019076484221786316,0.0038637161924832686,0.004040049183207328,0.0014516239570669203,0.0011097137648327278,0.022215766282688457,0.03259094096772229,0.0067536107552684495,0.004875071608869171,1.0724180407788062,0.940138409710955,-0.017132459795459742,0.02045796583407589
2014-09-30,A,126554.0,25.839,0.301,19.548,40.993,42.207,43.496,27.394,4.024,20.567,0.388,0.093,0.225,0.144,0.595,0.107,0.228,0.1,0.083,0.085,0.157,0.083,0.069,0.083,0.111,0.263,0.681,0.318,0.319,0.318,0.046,0.045,0.519,0.241,2.419,0.003,0.495,0.213,0.79,4.561,0.462,0.485,0.354,0.942,1.668,2.468,3.143,192.964,0.442,5.334,4.484,0.585,0.859,0.092,0.006,0.0,-0.046,3.371,0.927,00846U10,36179383.0,56.98,-0.0031490552834150254,-0.008008356545960993,0.018955650929899814,-0.0025251188589829887,0.0035417188082052333,0.021296490915937757,0.0314265612304607,0.001802277735926712,0.0025824639253594008,0.9479786325430928,0.9324415464018992,-0.06800114108694044,-0.002985237121374377
2014-10-31,A,126554.0,25.068,0.301,19.548,39.77,40.948,42.198,26.577,3.904,19.953,0.388,0.093,0.225,0.144,0.595,0.107,0.228,0.1,0.083,0.085,0.157,0.083,0.069,0.083,0.111,0.263,0.681,0.318,0.319,0.318,0.046,0.045,0.519,0.241,2.419,0.003,0.495,0.213,0.79,4.561,0.462,0.485,0.354,0.942,1.668,2.468,3.143,192.964,0.442,5.334,4.484,0.585,0.859,0.092,0.006,0.0,-0.046,3.271,0.955,00846U10,59760345.0,55.28,0.03192085122269939,0.07863414634146348,0.292797006548176,0.025906141884114813,0.044222060667987916,0.03287504751249263,0.03509144880334739,0.0366514939601736,0.0330420312611996,1.096262614185643,1.0810973487205418,0.14244266021437535,0.03499363580842741
2014-11-30,A,126554.0,19.382,0.301,19.548,30.748,31.659,32.626,20.548,3.018,15.427,0.388,0.093,0.225,0.144,0.595,0.107,0.228,0.1,0.083,0.085,0.157,0.083,0.069,0.083,0.111,0.263,0.681,0.318,0.319,0.318,0.046,0.045,0.519,0.241,2.419,0.003,0.495,0.213,0.79,4.561,0.462,0.485,0.354,0.942,1.668,2.468,3.143,192.964,0.442,5.334,4.484,0.585,0.859,0.092,0.006,0.0,-0.046,2.529,1.24,00846U10,56336377.0,42.74,-0.22684515195369026,-0.15799842395587071,-0.0444891571652134,-0.04652191689719657,-0.0012639804044309866,0.15660358634905275,0.1159458357453032,-0.09509682899675834,-0.04121144965734036,1.0035814401975418,1.0085934050094778,-0.05729498382246623,-0.2276575842995147
2014-12-31,A,126554.0,16.836,0.294,14.009,15.992,16.118,27.477,27.477,1.966,19.308,0.349,0.072,0.218,0.162,0.582,0.093,0.127,0.141,0.092,0.141,0.22,0.095,0.075,0.095,0.177,0.375,0.657,0.343,0.343,0.343,0.041,0.041,0.548,0.255,1.818,0.0,0.499,0.129,0.712,5.023,0.508,0.511,0.379,1.044,1.779,2.602,3.231,126.111,0.649,7.419,6.454,0.866,1.318,0.103,0.008,0.0,-0.019,2.526,1.29,00846U10,48794381.0,40.94,-0.042115114646701035,-0.23576628710098946,-0.12221269296741,-0.07901313845923064,-0.015399940901289691,0.1332706239984016,0.11467707569266307,-0.06860597182172969,-0.041469639654300554,0.8877564667634008,0.8770377216082135,-0.1338743526229953,-0.03738796537609086
2014-01-31,AAPL,1690.0,17.588,0.327,7.993,12.506,12.594,12.594,12.594,2.613,8.321,0.288,0.217,0.326,0.287,0.416,0.293,0.256,0.291,0.272,0.379,0.262,0.306,0.281,0.306,0.601,0.343,0.879,0.121,0.121,0.121,0.016,0.016,0.486,0.082,0.304,0.0,0.203,0.643,0.848,5.028,0.121,0.403,0.241,0.675,0.929,1.638,1.679,35.02410416666667,0.892,8.69,4.631,1.216,1.383,0.026,0.006,0.0,-0.087,3.189,2.44,03783310,312716501.0,500.6,-0.10769669530498016,-0.042284131302348094,0.10622500165734872,-0.011652472381318835,0.01943272652768202,0.0875948292722081,0.07630732091012958,-0.036434310237609,-0.00541317631854769,1.2502101904086254,1.156989128652946,0.24362667404812477,-0.13464350594361896
2014-02-28,AAPL,1690.0,18.776,0.296,7.764,0.463,0.466,0.466,0.466,2.698,8.872,0.293,0.213,0.325,0.283,0.416,0.288,0.255,0.284,0.258,0.362,0.262,0.291,0.245,0.291,0.578,0.35,0.91,0.09,0.09,0.09,0.017,0.017,0.518,0.062,0.225,0.0,0.162,0.643,0.852,4.961,0.088,0.381,0.206,0.615,0.963,1.645,1.685,35.02410416666667,0.842,9.583,4.965,1.236,1.359,0.028,0.006,0.0,-0.078,3.172,2.32,03783310,210091157.0,526.24,0.051218537754694315,-0.053644325354721634,0.08009589176053322,-0.01585880019241437,0.015194305830023605,0.08230022307357718,0.07313395876009456,0.007392113758542658,0.010767313416664311,0.814030266957991,0.8160521542744452,-0.3281737409820916,0.04169343996165175
2014-03-31,AAPL,1690.0,18.501,0.296,7.764,0.472,0.475,0.475,0.475,2.658,8.742,0.293,0.213,0.325,0.283,0.416,0.288,0.255,0.284,0.258,0.362,0.262,0.291,0.245,0.291,0.578,0.35,0.91,0.09,0.09,0.09,0.017,0.017,0.518,0.062,0.225,0.0,0.162,0.643,0.852,4.961,0.088,0.381,0.206,0.615,0.963,1.645,1.685,35.02410416666667,0.842,9.583,4.965,1.236,1.359,0.028,0.006,0.0,-0.078,3.125,2.27,03783310,178201150.0,536.74,0.01995287321374284,-0.04327831449859176,0.12583114840062937,-0.01217509477884767,0.022099990056221337,0.08418828641861262,0.0709003492935352,0.013672493486142748,0.013391759072972461,0.7626201609723569,0.7553616667359914,-0.15179128648427598,0.015216463382125591
